timestamp,earth_gouzhifee_yoy,estate_invest_yoy,fdckftzwce_bangonglou_yoy,fwsgmj_bangonglou_accumyoy
1992-02-29,,,,
1992-03-31,,,,
1992-04-30,,,,
1992-05-31,,,,
1992-06-30,,,,
1992-07-31,,,,
1992-08-31,,,,
1992-09-30,,,,
1992-10-31,,,,
1992-11-30,,,,
1992-12-31,,,,
1993-02-28,,,,
1993-03-31,,,,
1993-04-30,,,,
1993-05-31,,,,
1993-06-30,,,,
1993-07-31,,,,
1993-08-31,,,,
1993-09-30,,,,
1993-10-31,,,,
1993-11-30,,,,
1993-12-31,,,,
1994-02-28,,,,
1994-03-31,,,,
1994-04-30,,,,
1994-05-31,,,,
1994-06-30,,,,
1994-07-31,,,,
1994-08-31,,,,
1994-09-30,,,,
1994-10-31,,,,
1994-11-30,,,,
1994-12-31,,,,
1995-02-28,,,,
1995-03-31,,,,
1995-04-30,,,,
1995-05-31,,,,
1995-06-30,,,,
1995-07-31,,,,
1995-08-31,,,,
1995-09-30,,,,
1995-10-31,,,,
1995-11-30,,,,
1995-12-31,,,,
1996-01-31,,,,
1996-02-29,,,,
1996-03-31,,,,
1996-04-30,,,,
1996-05-31,,,,
1996-06-30,,,,
1996-07-31,,,,
1996-08-31,,,,
1996-09-30,,,,
1996-10-31,,,,
1996-11-30,,,,
1996-12-31,,,,
1997-01-31,,,,
1997-02-28,,,,
1997-03-31,,,,
1997-04-30,,,,
1997-05-31,,,,
1997-06-30,,,,
1997-07-31,,,,
1997-08-31,,,,
1997-09-30,,,,
1997-10-31,,,,
1997-11-30,,,,
1997-12-31,,,,
1998-01-31,,,,
1998-02-28,,,-6.8,
1998-03-31,,,-0.3,
1998-04-30,,,-3.1,
1998-05-31,,,-4,
1998-06-30,,,-3.5,
1998-07-31,,,-5,
1998-08-31,,,-5.3,
1998-09-30,,,-4.5,
1998-10-31,,,-4.1,
1998-11-30,,,-6.6,
1998-12-31,,,-5.4,
1999-01-31,,,,
1999-02-28,,29,11.8,
1999-03-31,,28.3,11.5,
1999-04-30,,24.4,16.7,
1999-05-31,,24.7,12.8,
1999-06-30,,24.6,12.8,
1999-07-31,,24.8,15.3,
1999-08-31,,22.9,15.8,
1999-09-30,,21.6,17.3,
1999-10-31,,20.2,19.9,
1999-11-30,,20.5,17.9,
1999-12-31,,11,24.4,
2000-01-31,,,,
2000-02-29,,19.8,-4.9,
2000-03-31,,20.4,-17.4,
2000-04-30,,20.9,-11.9,
2000-05-31,,20.8,-10.1,
2000-06-30,,22.4,-6.2,
2000-07-31,,24.1,-3.2,
2000-08-31,,24.3,-3.5,
2000-09-30,,25,-2.1,
2000-10-31,,24.6,-3,
2000-11-30,,24.1,-7.4,
2000-12-31,,19.5,-12.9,
2001-01-31,,,,
2001-02-28,,23,15.3,
2001-03-31,,22.9,-0.9,
2001-04-30,,22.8,-4.3,
2001-05-31,,26.5,-4.3,
2001-06-30,,28.2,-0.9,
2001-07-31,,31.6,-3.5,
2001-08-31,,32.1,-5.1,
2001-09-30,,31.4,-6.1,
2001-10-31,,31.4,-4.3,
2001-11-30,,29.7,-3.3,
2001-12-31,,25.3,8.7,
2002-01-31,,,,
2002-02-28,68.8,30.2,-7.4,
2002-03-31,47.6,36.2,24.6,
2002-04-30,53.7,38.8,30.5,
2002-05-31,54.4,36.7,29.4,
2002-06-30,38.7,32.9,21.3,
2002-07-31,40.5,30.7,18.3,
2002-08-31,44.9,30,18.2,
2002-09-30,47.2,29.4,20.9,
2002-10-31,47,29.8,22.8,
2002-11-30,48.2,28.2,22.7,
2002-12-31,53.7,22,19.2,
2003-01-31,,,,
2003-02-28,64.3,37,26.8,
2003-03-31,65.3,34.9,14.8,
2003-04-30,55,33.5,19.9,
2003-05-31,54.5,32.9,28.6,
2003-06-30,60.4,34,27.9,
2003-07-31,56.6,34.1,39.7,
2003-08-31,50.7,33.1,42.9,
2003-09-30,52.6,32.8,39.8,
2003-10-31,49,31.3,36.7,
2003-11-30,46.7,32.5,41.5,
