日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2024-01-02,5431.8,5438.8,5392.8,5394.2,30655,96410,0.0
2024-01-03,5383.0,5421.4,5362.0,5388.6,34628,95551,0.0
2024-01-04,5382.4,5384.0,5314.0,5347.8,39887,91439,0.0
2024-01-05,5338.0,5361.0,5258.0,5282.2,45095,95383,0.0
2024-01-08,5275.6,5275.6,5124.4,5130.6,60279,96235,0.0
2024-01-09,5141.2,5208.8,5129.0,5155.0,56505,89635,0.0
2024-01-10,5142.0,5207.8,5087.0,5138.8,55534,89322,0.0
2024-01-11,5138.8,5246.8,5129.4,5209.6,52504,82600,0.0
2024-01-12,5196.0,5256.6,5186.8,5188.6,44392,78690,0.0
2024-01-15,5169.0,5238.0,5155.0,5178.2,50038,72121,0.0
2024-01-16,5175.2,5198.8,5105.4,5173.4,57848,62289,0.0
2024-01-17,5162.0,5165.2,5000.2,5017.8,52304,46327,0.0
2024-01-18,5009.6,5068.0,4888.8,5045.0,51968,27877,0.0
2024-01-19,4969.0,5035.0,4935.2,4950.8,51428,71103,0.0
2024-01-22,4946.0,4950.4,4560.8,4645.6,75305,83516,0.0
2024-01-23,4659.0,4849.0,4608.6,4800.4,82012,78655,0.0
2024-01-24,4850.4,4898.4,4683.8,4890.2,77260,77739,0.0
2024-01-25,4856.6,5062.6,4846.4,5060.0,69226,70030,0.0
2024-01-26,5043.0,5056.4,4969.0,4992.6,49945,63599,0.0
2024-01-29,5018.0,5030.0,4886.4,4893.2,53988,66393,0.0
2024-01-30,4856.0,4916.6,4745.2,4767.8,56343,65536,0.0
2024-01-31,4750.0,4799.6,4648.0,4657.4,74594,72767,0.0
2024-02-01,4650.0,4762.4,4596.0,4648.8,69782,66686,0.0
2024-02-02,4673.0,4718.0,4346.6,4512.8,82847,70234,0.0
2024-02-05,4475.0,4585.0,4208.4,4380.0,105377,68243,0.0
2024-02-06,4379.0,4843.8,4360.0,4822.6,99950,55643,0.0
2024-02-07,4805.0,5134.6,4802.0,5128.6,140872,155341,0.0
2024-02-08,5180.0,5399.0,5085.2,5110.6,168495,166374,0.0
2024-02-19,5201.0,5213.0,5025.0,5083.4,92112,153397,0.0
2024-02-20,5067.8,5122.6,5038.6,5097.4,69995,146886,0.0
2024-02-21,5065.0,5248.6,5058.8,5107.2,94047,149251,0.0
2024-02-22,5117.2,5175.0,5097.0,5159.2,70369,139574,0.0
2024-02-23,5180.0,5193.2,5092.0,5186.0,73823,138926,0.0
2024-02-26,5179.8,5247.8,5142.0,5168.2,73623,136199,0.0
2024-02-27,5160.0,5308.8,5146.0,5307.8,74463,132320,0.0
2024-02-28,5319.2,5382.8,5170.2,5175.2,103190,135550,0.0
2024-02-29,5202.0,5362.6,5164.0,5346.4,88875,126850,0.0
2024-03-01,5346.4,5394.4,5319.2,5382.6,66208,117269,0.0
2024-03-04,5390.0,5404.6,5315.0,5377.0,56578,110228,0.0
2024-03-05,5351.0,5377.0,5311.0,5334.8,59014,106718,0.0
