etime,close
2009/3/27,3577
2009/3/30,3548
2009/3/31,3549
2009/4/1,3549
2009/4/2,3481
2009/4/3,3456
2009/4/7,3482
2009/4/8,3469
2009/4/9,3472
2009/4/10,3485
2009/4/13,3481
2009/4/14,3558
2009/4/15,3566
2009/4/16,3597
2009/4/17,3622
2009/4/20,3632
2009/4/21,3539
2009/4/22,3536
2009/4/23,3507
2009/4/24,3506
2009/4/27,3505
2009/4/28,3507
2009/4/29,3511
2009/4/30,3543
2009/5/4,3624
2009/5/5,3588
2009/5/6,3591
2009/5/7,3608
2009/5/8,3602
2009/5/11,3649
2009/5/12,3647
2009/5/13,3646
2009/5/14,3598
2009/5/15,3606
2009/5/18,3596
2009/5/19,3617
2009/5/20,3624
2009/5/21,3629
2009/5/22,3617
2009/5/25,3607
2009/5/26,3606
2009/5/27,3610
2009/6/1,3643
2009/6/2,3663
2009/6/3,3665
2009/6/4,3693
2009/6/5,3754
2009/6/8,3770
2009/6/9,3782
2009/6/10,3797
2009/6/11,3869
2009/6/12,3893
2009/6/15,3850
2009/6/16,3864
2009/6/17,3857
2009/6/18,3845
2009/6/19,3891
2009/6/22,3917
2009/6/23,3868
2009/6/24,3874
2009/6/25,3871
2009/6/26,3860
2009/6/29,3838
2009/6/30,3828
2009/7/1,3835
2009/7/2,3864
2009/7/3,3869
2009/7/6,3866
2009/7/7,3869
2009/7/8,3851
2009/7/9,3852
2009/7/10,3878
2009/7/13,3894
2009/7/14,3926
2009/7/15,3974
2009/7/16,4029
2009/7/17,4013
2009/7/20,4018
2009/7/21,4030
2009/7/22,4066
2009/7/23,4101
2009/7/24,4159
2009/7/27,4218
2009/7/28,4269
2009/7/29,4369
2009/7/30,4407
2009/7/31,4540
2009/8/3,4824
2009/8/4,4886
2009/8/5,4873
2009/8/6,4859
2009/8/7,4731
2009/8/10,4624
2009/8/11,4645
2009/8/12,4603
2009/8/13,4636
2009/8/14,4522
2009/8/17,4449
2009/8/18,4442
2009/8/19,4304
2009/8/20,4226
2009/8/21,4342
2009/8/24,4358
2009/8/25,4227
2009/8/26,4249
2009/8/27,4274
2009/8/28,4291
2009/8/31,4183
2009/9/1,4093
2009/9/2,4045
2009/9/3,4038
2009/9/4,4044
2009/9/7,3960
2009/9/8,3927
2009/9/9,4002
2009/9/10,4045
2009/9/11,3997
2009/9/14,3937
2009/9/15,3972
2009/9/16,4008
2009/9/17,4033
2009/9/18,3967
2009/9/21,3988
2009/9/22,3967
2009/9/23,3917
2009/9/24,3840
2009/9/25,3827
2009/9/28,3711
2009/9/29,3676
2009/9/30,3690
2009/10/9,3671
2009/10/12,3664
2009/10/13,3679
2009/10/14,3678
2009/10/15,3728
2009/10/16,3783
2009/10/19,3886
2009/10/20,3847
2009/10/21,3857
2009/10/22,3894
2009/10/23,3884
2009/10/26,3959
2009/10/27,3978
2009/10/28,3913
2009/10/29,3821
2009/10/30,3866
2009/11/2,3872
2009/11/3,3912
2009/11/4,3886
2009/11/5,3886
2009/11/6,3887
2009/11/9,4081
2009/11/10,4108
2009/11/11,4087
2009/11/12,4054
2009/11/13,4037
2009/11/16,4069
2009/11/17,4056
2009/11/18,4043
2009/11/19,4102
2009/11/20,4117
2009/11/23,4159
2009/11/24,4158
2009/11/25,4121
2009/11/26,4107
2009/11/27,3983
2009/11/30,4372
2009/12/1,4360
2009/12/2,4383
2009/12/3,4381
2009/12/4,4360
2009/12/7,4375
2009/12/8,4321
2009/12/9,4272
2009/12/10,4294
2009/12/11,4376
2009/12/14,4384
2009/12/15,4409
2009/12/16,4397
2009/12/17,4403
2009/12/18,4372
2009/12/21,4390
2009/12/22,4420
2009/12/23,4412
2009/12/24,4442
2009/12/25,4460
2009/12/28,4510
2009/12/29,4512
2009/12/30,4498
2009/12/31,4502
2010/1/4,4576
2010/1/5,4590
2010/1/6,4620
2010/1/7,4539
2010/1/8,4456
2010/1/11,4502
2010/1/12,4503
2010/1/13,4420
2010/1/14,4448
2010/1/15,4395
2010/1/18,4374
2010/1/19,4388
2010/1/20,4364
2010/1/21,4344
2010/1/22,4298
2010/1/25,4280
2010/1/26,4270
2010/1/27,4299
2010/1/28,4295
2010/1/29,4298
2010/2/1,4296
2010/2/2,4209
2010/2/3,4165
2010/2/4,4123
2010/2/5,4088
2010/2/8,4123
2010/2/9,4137
2010/2/10,4191
2010/2/11,4216
2010/2/12,4276
2010/2/22,4278
2010/2/23,4273
2010/2/24,4252
2010/2/25,4234
2010/2/26,4196
2010/3/1,4216
2010/3/2,4172
2010/3/3,4150
2010/3/4,4145
2010/3/5,4157
2010/3/8,4190
2010/3/9,4625
2010/3/10,4640
2010/3/11,4644
2010/3/12,4660
