Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1728738000000,63056.26000000,63151.52000000,62975.00000000,63072.12000000,464.98284000,1728741599999,29316640.22378220,90061,211.57917000,13340566.34432460,0
1728741600000,63072.12000000,63400.00000000,63014.00000000,63234.99000000,646.31938000,1728745199999,40874988.80843390,130556,342.15106000,21638395.56616960,0
1728745200000,63235.00000000,63480.00000000,63057.00000000,63157.49000000,1011.08640000,1728748799999,63950666.91082490,147311,436.67685000,27625548.71206360,0
1728748800000,63157.50000000,63400.00000000,63063.40000000,63064.06000000,491.72842000,1728752399999,31082537.64539820,113256,241.81956000,15288108.43388240,0
1728752400000,63064.06000000,63260.00000000,63048.00000000,63103.47000000,321.78631000,1728755999999,20319532.20498460,72999,141.36436000,8926018.24091140,0
1728756000000,63103.46000000,63177.64000000,62936.00000000,62936.01000000,371.62018000,1728759599999,23424325.19090930,95379,131.93564000,8316912.98664710,0
1728759600000,62936.01000000,63075.61000000,62911.00000000,63000.01000000,352.60400000,1728763199999,22210002.08208230,67684,119.20861000,7510314.85478540,0
1728763200000,63000.01000000,63113.21000000,63000.00000000,63043.29000000,207.96238000,1728766799999,13117085.23593720,50295,112.56461000,7100309.99056190,0
1728766800000,63043.29000000,63225.24000000,63043.28000000,63221.16000000,172.79716000,1728770399999,10911310.22892710,45920,97.28084000,6142900.32921540,0
1728770400000,63221.16000000,63324.00000000,63140.00000000,63296.63000000,208.14162000,1728773999999,13164768.97611900,71040,106.12703000,6712816.83967480,0
1728774000000,63296.63000000,63388.00000000,63169.82000000,63206.22000000,385.40944000,1728777599999,24389566.73501380,79970,234.64134000,14852743.55958760,0
1728777600000,63206.23000000,63285.72000000,63035.00000000,63190.23000000,392.73552000,1728781199999,24823027.95739710,62824,195.14206000,12337798.38541620,0
1728781200000,63190.24000000,63190.24000000,62818.00000000,62879.26000000,906.08765000,1728784799999,57058699.21252380,92106,412.13829000,25954927.06085360,0
1728784800000,62879.26000000,62920.00000000,62700.00000000,62867.20000000,408.56362000,1728788399999,25659237.58089040,57230,182.39153000,11455805.24492150,0
1728788400000,62867.20000000,62900.00000000,62654.91000000,62712.31000000,271.47783000,1728791999999,17036420.21429340,51047,113.73488000,7136883.15307480,0
1728792000000,62712.31000000,62860.00000000,62707.21000000,62814.00000000,199.62475000,1728795599999,12536459.60354130,34182,110.97026000,6968438.39135990,0
1728795600000,62814.00000000,62964.00000000,62813.99000000,62853.92000000,184.12566000,1728799199999,11581547.81432130,32741,98.70407000,6208050.72086800,0
1728799200000,62853.91000000,62990.00000000,62853.91000000,62867.29000000,211.17094000,1728802799999,13284287.50959460,35777,127.06313000,7993260.15185420,0
1728802800000,62867.29000000,62912.92000000,62729.81000000,62843.48000000,382.01636000,1728806399999,23988414.05405160,44854,175.15831000,10999831.92367310,0
1728806400000,62843.48000000,62962.00000000,62797.93000000,62809.99000000,495.84681000,1728809999999,31169907.95513160,62320,235.60645000,14810865.86414890,0
1728810000000,62809.99000000,62867.57000000,62770.61000000,62830.00000000,473.75794000,1728813599999,29757973.38154680,62502,272.08775000,17091285.84236000,0
1728813600000,62830.00000000,62830.01000000,62688.01000000,62700.99000000,419.55548000,1728817199999,26334979.39808680,55445,154.49575000,9698201.44907060,0
1728817200000,62700.99000000,62776.00000000,62520.18000000,62561.33000000,683.10484000,1728820799999,42782752.28669660,114975,257.91968000,16154696.28970640,0
1728820800000,62561.34000000,62728.37000000,62546.00000000,62664.01000000,337.55907000,1728824399999,21149236.36608120,74708,169.33376000,10609144.90044530,0
1728824400000,62664.01000000,62818.00000000,62624.75000000,62660.00000000,417.77487000,1728827999999,26208521.75803890,82089,201.32130000,12630158.95286680,0
1728828000000,62660.00000000,62660.00000000,62200.00000000,62249.60000000,891.39712000,1728831599999,55652441.09099900,152101,413.83536000,25831533.95679760,0
1728831600000,62249.60000000,62347.49000000,62050.00000000,62229.31000000,1235.55429000,1728835199999,76855945.72354030,164777,658.76879000,40982829.84549750,0
