Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1729638000000,67724.00000000,67773.94000000,67545.00000000,67559.99000000,170.20933000,1729639799999,11513205.61874590,25813,60.87106000,4116816.02714770,0
1729639800000,67559.99000000,67560.00000000,67292.00000000,67426.00000000,189.37171000,1729641599999,12769720.97665450,36286,78.95955000,5323627.38935200,0
1729641600000,67426.01000000,67472.83000000,67138.15000000,67263.98000000,370.69159000,1729643399999,24933853.24813880,80257,158.43110000,10657930.26892720,0
1729643400000,67263.98000000,67272.73000000,67130.43000000,67179.13000000,207.17286000,1729645199999,13922802.70115570,49730,100.60511000,6760459.51064380,0
1729645200000,67179.13000000,67354.88000000,67179.13000000,67306.91000000,240.77827000,1729646999999,16196429.99861740,35761,138.27178000,9300875.94279860,0
1729647000000,67306.91000000,67386.94000000,67242.37000000,67348.46000000,152.78158000,1729648799999,10286853.42468500,35948,57.41971000,3866066.27492840,0
1729648800000,67348.46000000,67386.93000000,67070.49000000,67087.45000000,307.65250000,1729650599999,20682226.59598630,52058,92.28406000,6207011.45654920,0
1729650600000,67087.46000000,67214.00000000,67068.28000000,67096.00000000,273.71423000,1729652399999,18380740.66971430,42399,108.33650000,7275222.49992210,0
1729652400000,67095.99000000,67180.92000000,66890.00000000,66954.62000000,445.17579000,1729654199999,29831829.86252590,70295,168.10216000,11264572.44393570,0
1729654200000,66954.62000000,67106.90000000,66909.50000000,67082.10000000,194.08299000,1729655999999,13006579.25075800,41353,112.26582000,7523168.83834950,0
1729656000000,67082.10000000,67160.02000000,66999.99000000,67089.99000000,259.93902000,1729657799999,17439498.29927880,32716,113.07385000,7588052.10291250,0
1729657800000,67089.99000000,67249.84000000,67060.00000000,67217.48000000,255.44877000,1729659599999,17159464.08377690,32612,173.60590000,11661712.92866820,0
1729659600000,67217.48000000,67227.59000000,67106.63000000,67132.77000000,134.35846000,1729661399999,9025173.24612540,38047,55.58364000,3733741.69829460,0
1729661400000,67132.76000000,67179.00000000,67042.44000000,67087.06000000,210.55900000,1729663199999,14126454.46634720,37400,66.04317000,4431455.57653160,0
1729663200000,67087.06000000,67289.34000000,67060.60000000,67281.31000000,292.55250000,1729664999999,19655360.77911910,32527,211.40512000,14203983.74839340,0
1729665000000,67281.32000000,67302.83000000,66904.18000000,66917.55000000,441.83489000,1729666799999,29632231.25278860,46487,152.17591000,10204782.61079570,0
1729666800000,66917.55000000,67000.77000000,66844.00000000,66957.46000000,311.64047000,1729668599999,20860058.39832050,71097,153.16413000,10251893.99124050,0
1729668600000,66957.47000000,66957.54000000,66800.00000000,66852.34000000,298.71155000,1729670399999,19973624.96689900,59892,130.54757000,8728725.65261620,0
1729670400000,66852.33000000,67048.00000000,66700.00000000,66820.00000000,646.31038000,1729672199999,43208512.65428200,84162,352.01710000,23544517.92360670,0
1729672200000,66820.00000000,66852.43000000,66415.62000000,66530.00000000,787.48357000,1729673999999,52449224.27244860,96487,247.22792000,16469009.22000540,0
1729674000000,66530.00000000,66602.35000000,66200.00000000,66352.01000000,855.04156000,1729675799999,56747792.93886460,132135,395.11402000,26226190.65172680,0
1729675800000,66352.00000000,66578.50000000,66352.00000000,66516.00000000,545.98099000,1729677599999,36306876.40080830,82236,313.53923000,20848744.11980600,0
1729677600000,66515.99000000,66643.50000000,66484.93000000,66621.04000000,532.68742000,1729679399999,35450028.26034250,55998,164.96452000,10980282.56994750,0
1729679400000,66621.03000000,66640.00000000,66397.37000000,66398.19000000,366.18128000,1729681199999,24347602.25688950,52863,114.42792000,7608515.36747150,0
1729681200000,66398.18000000,66554.00000000,66398.18000000,66546.31000000,296.53847000,1729682999999,19717425.64305930,44160,148.88187000,9898563.48066240,0
1729683000000,66546.30000000,66600.00000000,66276.04000000,66414.00000000,647.93976000,1729684799999,43039673.11708610,60297,238.15415000,15818426.72509790,0
1729684800000,66414.00000000,66500.00000000,66190.67000000,66239.99000000,929.07140000,1729686599999,61640865.49342030,99764,338.95208000,22493568.99828970,0
1729686600000,66239.99000000,66512.11000000,66105.00000000,66416.72000000,786.71642000,1729688399999,52191661.46347900,85882,391.54331000,25980658.90786790,0
1729688400000,66416.72000000,66548.00000000,66340.40000000,66546.00000000,295.72620000,1729690199999,19650663.59590620,56751,147.36649000,9795230.41586020,0
