open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721606400000,0.0324510,0.0325680,0.0322670,0.0323710,1910385,1721606579999,61981.6195670,388,1149289,37293.5877110,0
1721606580000,0.0323640,0.0325280,0.0322670,0.0324800,699417,1721606759999,22652.6434490,220,450154,14578.8687890,0
1721606760000,0.0324800,0.0325710,0.0324170,0.0325100,904308,1721606939999,29359.5567760,280,471541,15314.0283670,0
1721606940000,0.0325060,0.0325060,0.0322720,0.0323350,481085,1721607119999,15557.1300990,217,285298,9229.5649970,0
1721607120000,0.0323170,0.0323310,0.0322400,0.0322770,637092,1721607299999,20565.6151280,163,330350,10671.8644600,0
1721607300000,0.0322830,0.0323370,0.0321660,0.0321720,955972,1721607479999,30842.3558670,232,570559,18414.7135610,0
1721607480000,0.0321720,0.0322310,0.0321470,0.0321660,1100847,1721607659999,35433.4000130,244,524966,16900.4613180,0
1721607660000,0.0321660,0.0321660,0.0320300,0.0320610,1075995,1721607839999,34506.5687280,241,473143,15172.8655720,0
1721607840000,0.0320460,0.0320780,0.0319120,0.0319880,2566790,1721608019999,82130.3250040,346,1058779,33902.8083060,0
1721608020000,0.0319760,0.0320120,0.0319210,0.0319780,1149303,1721608199999,36719.7511290,229,586430,18737.0328990,0
1721608200000,0.0319800,0.0321520,0.0319780,0.0320290,1893815,1721608379999,60765.0119360,324,1081832,34728.3742120,0
1721608380000,0.0320380,0.0320990,0.0320020,0.0320470,460307,1721608559999,14749.7425700,158,300127,9617.7785670,0
1721608560000,0.0320150,0.0320790,0.0319150,0.0320140,516724,1721608739999,16531.4504950,150,302504,9679.1345070,0
1721608740000,0.0320190,0.0320480,0.0319370,0.0319810,478312,1721608919999,15307.4975140,143,250914,8033.1365930,0
1721608920000,0.0319710,0.0320170,0.0319330,0.0319810,321374,1721609099999,10269.5807940,109,123823,3958.7637970,0
1721609100000,0.0319890,0.0321160,0.0319470,0.0321160,675913,1721609279999,21642.5188330,274,485449,15546.2308090,0
