open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718668800000,0.0229570,0.0230790,0.0229530,0.0229620,13330133,1718668979999,306656.4835270,2743,6127991,140962.8991910,0
1718668980000,0.0229630,0.0230180,0.0228640,0.0229450,21544740,1718669159999,493628.7933270,2673,10076287,230884.4171780,0
1718669160000,0.0229450,0.0229860,0.0228280,0.0228350,21847311,1718669339999,500352.2275070,3030,10953340,251051.7819690,0
1718669340000,0.0228340,0.0228410,0.0226450,0.0226490,37674764,1718669519999,855931.8681470,4463,12239923,278100.5005770,0
1718669520000,0.0226490,0.0226950,0.0225190,0.0225270,39977526,1718669699999,903648.3513090,4343,16752578,378767.1574250,0
1718669700000,0.0225280,0.0225870,0.0223620,0.0224320,57475250,1718669879999,1291988.8745060,6267,25843600,580805.8011830,0
1718669880000,0.0224300,0.0225060,0.0223810,0.0224450,30990725,1718670059999,695638.7675960,3909,19551786,438854.3999440,0
1718670060000,0.0224450,0.0224730,0.0223830,0.0224520,14515922,1718670239999,325675.7026090,2576,6612332,148364.0113740,0
1718670240000,0.0224520,0.0225450,0.0223880,0.0224210,18296296,1718670419999,411126.9947030,2925,8217988,184713.2267090,0
1718670420000,0.0224200,0.0224490,0.0223630,0.0224090,11750604,1718670599999,263213.1020240,1842,5167756,115774.5004550,0
1718670600000,0.0224040,0.0225650,0.0223800,0.0225190,22805225,1718670779999,512974.5229080,3367,12426058,279457.7714920,0
1718670780000,0.0225160,0.0225260,0.0221680,0.0221690,23494858,1718670959999,524772.6270550,3946,9032703,201954.2177200,0
1718670960000,0.0221710,0.0222800,0.0221320,0.0221950,25374538,1718671139999,563474.8278700,3937,13925197,309276.5821340,0
1718671140000,0.0221920,0.0222370,0.0220000,0.0220260,29441591,1718671319999,650961.1288330,4045,10911194,241483.5103630,0
1718671320000,0.0220260,0.0221040,0.0219830,0.0219840,29739188,1718671499999,655170.4305050,3909,12186949,268542.1464900,0
1718671500000,0.0219830,0.0221480,0.0219790,0.0220420,39875775,1718671679999,879732.7048460,5503,19796686,436840.3591370,0
1718671680000,0.0220430,0.0221840,0.0219500,0.0221790,40791663,1718671859999,899802.7746020,5585,22185477,489702.8933360,0
1718671860000,0.0221810,0.0223450,0.0221740,0.0223140,37232011,1718672039999,829446.2127330,4946,19543618,435426.1561980,0
1718672040000,0.0223150,0.0224250,0.0222680,0.0223650,20789062,1718672219999,464349.8754490,2786,12405231,277197.8864360,0
1718672220000,0.0223620,0.0223740,0.0223030,0.0223080,11751922,1718672399999,262474.2389560,1681,4671228,104337.2880070,0
1718672400000,0.0223070,0.0224750,0.0222890,0.0224180,21785108,1718672579999,487964.6391100,4058,10846103,242986.0519610,0
1718672580000,0.0224140,0.0224980,0.0223530,0.0224720,15175173,1718672759999,340416.7759660,2668,9555278,214362.0189170,0
1718672760000,0.0224690,0.0224840,0.0223440,0.0223590,13833214,1718672939999,310058.2819160,2293,6881861,154199.6780030,0
1718672940000,0.0223610,0.0223910,0.0221370,0.0221580,24515078,1718673119999,545546.5105110,3409,9800923,218018.0615580,0
1718673120000,0.0221550,0.0221760,0.0220820,0.0221070,15209100,1718673299999,336678.8542930,2189,8026478,177706.2177410,0
1718673300000,0.0221070,0.0221080,0.0219380,0.0220740,28120493,1718673479999,619078.1338830,4026,13416047,295308.2063980,0
1718673480000,0.0220760,0.0220880,0.0218060,0.0218660,34801095,1718673659999,762238.2076520,5048,13463745,294887.1502510,0
1718673660000,0.0218660,0.0219740,0.0211170,0.0215550,119268806,1718673839999,2572377.5426700,11142,49430136,1066642.2981890,0
1718673840000,0.0215560,0.0217140,0.0214290,0.0216300,107729183,1718674019999,2320911.3276790,10733,54157006,1166891.5796840,0
1718674020000,0.0216290,0.0217460,0.0214750,0.0217440,43937198,1718674199999,949501.6751510,6676,23273605,503190.6651310,0
1718674200000,0.0217440,0.0217580,0.0215350,0.0216260,39632283,1718674379999,858670.9362690,6067,20152769,436625.0082250,0
1718674380000,0.0216250,0.0217150,0.0214960,0.0215340,30535585,1718674559999,660077.3857930,4815,14979573,323811.8761130,0
1718674560000,0.0215330,0.0217270,0.0214890,0.0216240,25758804,1718674739999,556250.5641120,4049,14326045,309312.3534250,0
1718674740000,0.0216220,0.0216250,0.0210010,0.0210530,68390154,1718674919999,1454541.5743350,6295,30427243,647545.2970850,0
1718674920000,0.0210500,0.0213190,0.0195220,0.0200310,504867418,1718675099999,10341493.3964940,29433,198210349,4072033.2426390,0
1718675100000,0.0200220,0.0206330,0.0198960,0.0204990,265379219,1718675279999,5378697.3584470,20272,124373489,2521994.9542020,0
1718675280000,0.0204960,0.0207080,0.0204840,0.0205620,79158114,1718675459999,1629900.8882810,9189,42551903,876140.1754770,0
1718675460000,0.0205650,0.0207720,0.0204740,0.0206930,50121268,1718675639999,1035839.6638640,6991,26803335,553965.4890340,0
1718675640000,0.0206930,0.0208250,0.0205960,0.0206240,48557161,1718675819999,1005214.2023300,6950,23201041,480502.6650420,0
1718675820000,0.0206230,0.0208030,0.0205840,0.0207040,52504126,1718675999999,1085349.9731100,6411,18918261,391344.4646150,0
1718676000000,0.0207060,0.0208130,0.0205470,0.0205710,39390966,1718676179999,815048.4144140,6770,18460333,382094.4209510,0
1718676180000,0.0205750,0.0206090,0.0204860,0.0205480,34162053,1718676359999,702049.7848100,5497,15624947,321169.6897610,0
1718676360000,0.0205490,0.0205860,0.0203680,0.0204470,51865227,1718676539999,1060849.3007780,6321,20688099,423299.4995750,0
1718676540000,0.0204440,0.0205150,0.0203730,0.0204630,70394367,1718676719999,1439400.2939330,6365,41572890,850199.4338430,0
1718676720000,0.0204620,0.0205880,0.0204540,0.0205480,35778465,1718676899999,734644.6584240,3968,19328385,396873.6260350,0
1718676900000,0.0205470,0.0206700,0.0204570,0.0206660,38106828,1718677079999,783748.7478540,4452,20161857,414584.3568580,0
1718677080000,0.0206650,0.0207110,0.0206100,0.0206920,27915067,1718677259999,576656.7650070,4098,16225225,335215.9571580,0
1718677260000,0.0206960,0.0208360,0.0206460,0.0208280,30250345,1718677439999,627292.9345970,4171,19763571,409952.8324940,0
1718677440000,0.0208300,0.0210940,0.0208260,0.0210560,52654486,1718677619999,1102766.9745770,6399,36042597,755048.2083020,0
1718677620000,0.0210540,0.0210990,0.0210060,0.0210550,34634831,1718677799999,729107.9754090,4109,23147264,487320.1535720,0
1718677800000,0.0210530,0.0211580,0.0209310,0.0211470,50683949,1718677979999,1067278.8125760,5762,28376512,598088.4467890,0
1718677980000,0.0211420,0.0212400,0.0210950,0.0211930,28384797,1718678159999,600904.7558820,3754,16823727,356158.5838420,0
