open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648857600000,0.0021800,0.0021850,0.0021800,0.0021820,9421758,1648857779999,20552.1833810,81,7367957,16074.7627190,0
1648857780000,0.0021810,0.0021840,0.0021810,0.0021810,4686251,1648857959999,10229.1056720,95,2229609,4867.6607130,0
1648857960000,0.0021810,0.0021830,0.0021780,0.0021790,8753907,1648858139999,19087.4609130,72,2242858,4890.3351800,0
1648858140000,0.0021800,0.0021820,0.0021690,0.0021800,30882115,1648858319999,67248.4417880,170,15440846,33646.5777260,0
1648858320000,0.0021800,0.0021890,0.0021800,0.0021890,45279317,1648858499999,98868.7649440,394,37601145,82114.6282730,0
1648858500000,0.0021890,0.0021950,0.0021890,0.0021890,30960383,1648858679999,67866.8413380,255,21436380,46996.0277740,0
1648858680000,0.0021900,0.0021930,0.0021890,0.0021920,18935413,1648858859999,41502.8315840,183,12804849,28068.7464190,0
1648858860000,0.0021920,0.0021930,0.0021900,0.0021920,11778679,1648859039999,25812.6288660,168,4223824,9258.2633690,0
1648859040000,0.0021920,0.0022040,0.0021900,0.0021910,56162466,1648859219999,123266.2830190,616,26769431,58795.5409870,0
1648859220000,0.0021910,0.0021920,0.0021890,0.0021900,2524484,1648859399999,5530.1061920,62,672022,1472.5442630,0
1648859400000,0.0021900,0.0021920,0.0021890,0.0021910,6793007,1648859579999,14878.8448720,74,2113989,4631.8976430,0
1648859580000,0.0021910,0.0021950,0.0021890,0.0021940,7888298,1648859759999,17293.3658400,122,3110146,6820.7724110,0
1648859760000,0.0021930,0.0021940,0.0021890,0.0021910,15557644,1648859939999,34091.7270190,159,3012852,6604.7221310,0
1648859940000,0.0021910,0.0021910,0.0021850,0.0021870,9958500,1648860119999,21797.4437090,97,471822,1032.3965470,0
1648860120000,0.0021870,0.0021870,0.0021810,0.0021840,12696201,1648860299999,27706.7692780,150,1583778,3457.3917710,0
1648860300000,0.0021840,0.0021940,0.0021830,0.0021920,13090949,1648860479999,28660.7904460,95,11839860,25920.7922870,0
1648860480000,0.0021920,0.0021930,0.0021900,0.0021920,5565440,1648860659999,12197.8247790,184,1200785,2632.5589930,0
1648860660000,0.0021930,0.0022000,0.0021920,0.0022000,13254579,1648860839999,29099.0698310,143,5888052,12934.6355770,0
1648860840000,0.0021990,0.0022070,0.0021980,0.0022030,18595802,1648861019999,40963.1298410,164,11330271,24955.7692060,0
1648861020000,0.0022030,0.0022090,0.0021980,0.0022040,32049822,1648861199999,70629.9880300,207,19843893,43736.1645570,0
1648861200000,0.0022060,0.0022090,0.0022050,0.0022050,5376375,1648861379999,11863.4230700,94,2281678,5036.9501940,0
1648861380000,0.0022060,0.0022110,0.0022050,0.0022080,11700107,1648861559999,25844.2711060,111,8758463,19348.0587950,0
1648861560000,0.0022090,0.0022090,0.0022050,0.0022070,9197746,1648861739999,20289.4560690,86,2375311,5241.9032740,0
1648861740000,0.0022070,0.0022090,0.0021980,0.0022000,23464888,1648861919999,51688.4462120,144,4901142,10797.5213510,0
