open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731801600000,0.0525900,0.0527700,0.0521200,0.0522600,13871220,1731801779999,726532.9361200,4242,6482470,339451.3861400,0
1731801780000,0.0522400,0.0526700,0.0521100,0.0522700,5554276,1731801959999,290722.7576600,2663,2459731,128661.1437400,0
1731801960000,0.0522800,0.0527000,0.0521300,0.0521700,6870919,1731802139999,360386.7365800,2329,2695022,141410.5140800,0
1731802140000,0.0521600,0.0527300,0.0520700,0.0522700,3554516,1731802319999,186104.3204900,1838,1935330,101274.9727400,0
1731802320000,0.0522600,0.0523300,0.0520700,0.0522000,2894934,1731802499999,151038.1253200,1410,1535715,80139.9547700,0
1731802500000,0.0522200,0.0523500,0.0519800,0.0522900,4843819,1731802679999,252570.0866700,1658,2153001,112261.7457500,0
1731802680000,0.0523000,0.0525400,0.0519500,0.0519900,12524467,1731802859999,653022.6607500,2824,5369216,279997.1488100,0
1731802860000,0.0520200,0.0525100,0.0519700,0.0523100,16219356,1731803039999,847004.8646000,3305,9409499,491411.3546600,0
1731803040000,0.0523100,0.0523700,0.0518800,0.0519000,4828793,1731803219999,251795.0830800,1694,1675231,87397.0057900,0
1731803220000,0.0518900,0.0519200,0.0516100,0.0516400,5062954,1731803399999,261953.5785700,1751,2716986,140628.2453000,0
1731803400000,0.0516600,0.0521500,0.0516600,0.0517800,5414039,1731803579999,281135.5963300,1809,2840086,147444.1289300,0
1731803580000,0.0517700,0.0518700,0.0514800,0.0517900,4114823,1731803759999,212481.1065200,1483,2891096,149315.0994600,0
1731803760000,0.0517800,0.0525900,0.0517800,0.0524500,6056891,1731803939999,316899.0965300,2150,3133637,163927.4332200,0
1731803940000,0.0524500,0.0525800,0.0519500,0.0523200,6201121,1731804119999,324161.8924400,2094,3032420,158385.9091400,0
1731804120000,0.0523200,0.0524300,0.0519100,0.0519200,2251823,1731804299999,117298.5383400,1103,1281197,66754.8036200,0
1731804300000,0.0519300,0.0521600,0.0518500,0.0518900,2324587,1731804479999,120781.2684800,1096,1362277,70810.3348900,0
1731804480000,0.0519000,0.0529900,0.0519000,0.0529200,5559122,1731804659999,292521.4867600,1811,3118222,163976.8460400,0
1731804660000,0.0529500,0.0530200,0.0524600,0.0525200,4857828,1731804839999,256611.5851400,1859,1685413,89070.7842100,0
1731804840000,0.0525100,0.0525300,0.0519600,0.0522900,3489221,1731805019999,182039.7787700,1287,1893086,98727.8662200,0
1731805020000,0.0522300,0.0524000,0.0522100,0.0523800,1065480,1731805199999,55727.8596900,602,677963,35461.6810600,0
1731805200000,0.0523700,0.0523700,0.0518900,0.0520800,4453633,1731805379999,231925.2299400,1495,1869640,97361.8829500,0
1731805380000,0.0520800,0.0522500,0.0519600,0.0521500,1413703,1731805559999,73661.5411400,854,912793,47569.5621900,0
1731805560000,0.0521500,0.0526600,0.0520200,0.0526600,1719041,1731805739999,89891.0383600,981,1069704,55957.6789300,0
1731805740000,0.0526600,0.0527600,0.0520600,0.0521800,2844530,1731805919999,149224.8630600,1212,1312316,68859.3886500,0
1731805920000,0.0521700,0.0523900,0.0520800,0.0522300,2477666,1731806099999,129397.0264700,858,1734706,90610.5000900,0
1731806100000,0.0522300,0.0522900,0.0519900,0.0521000,1892571,1731806279999,98661.7762600,741,881491,45981.7814400,0
1731806280000,0.0521000,0.0523100,0.0519000,0.0519700,1999289,1731806459999,104143.7869200,902,1141248,59464.2123800,0
1731806460000,0.0519600,0.0520700,0.0519100,0.0519500,2031114,1731806639999,105585.3889000,813,1237472,64354.1658100,0
1731806640000,0.0519500,0.0520100,0.0515500,0.0516200,2885605,1731806819999,149412.2868500,1073,1443344,74740.9968300,0
1731806820000,0.0516100,0.0518100,0.0513000,0.0516200,8101087,1731806999999,417550.6018700,2017,5089221,262427.7311700,0
1731807000000,0.0516100,0.0516900,0.0511400,0.0511500,7685665,1731807179999,394869.4551100,1660,3767488,193688.1744300,0
1731807180000,0.0511600,0.0521200,0.0509200,0.0519300,11165365,1731807359999,573763.2841400,2979,5659257,290937.2561700,0
1731807360000,0.0519100,0.0521500,0.0516300,0.0516800,6138908,1731807539999,318907.1814400,2287,2560025,133118.9377100,0
1731807540000,0.0516900,0.0518700,0.0514900,0.0515800,5485977,1731807719999,283439.0772500,1927,2826052,146091.4246000,0
1731807720000,0.0515800,0.0516900,0.0510400,0.0510800,3422054,1731807899999,175614.7132900,1367,1075961,55221.3141900,0
1731807900000,0.0510900,0.0521500,0.0509500,0.0520700,8845396,1731808079999,456461.1782300,2978,4380334,225683.6396600,0
1731808080000,0.0520800,0.0520900,0.0512700,0.0514600,6712901,1731808259999,346038.4621300,1919,3571713,183850.5117900,0
1731808260000,0.0514500,0.0519900,0.0513200,0.0515300,5642638,1731808439999,291508.0344300,1859,1808094,93287.8768800,0
1731808440000,0.0515200,0.0515200,0.0510300,0.0510600,4996926,1731808619999,256129.6373600,1837,1687002,86479.2862900,0
1731808620000,0.0510400,0.0514500,0.0510200,0.0512800,3741818,1731808799999,191853.4107700,1742,2272002,116501.0365100,0
1731808800000,0.0512900,0.0513000,0.0503600,0.0507600,12466994,1731808979999,632349.1174000,3185,4200360,213286.9525600,0
1731808980000,0.0507500,0.0508600,0.0501400,0.0501900,8723092,1731809159999,439677.7272500,2714,3123122,157624.0542600,0
1731809160000,0.0501900,0.0502500,0.0494000,0.0499200,13861569,1731809339999,689652.8623800,4107,5261312,261935.5196500,0
1731809340000,0.0499400,0.0510300,0.0499000,0.0503000,12498572,1731809519999,631517.2009600,3724,6632241,335074.6316500,0
1731809520000,0.0502900,0.0510300,0.0501400,0.0503200,5551447,1731809699999,280289.2357100,2318,2623546,132578.7015200,0
1731809700000,0.0503100,0.0505500,0.0499300,0.0505000,15467454,1731809879999,775775.0895100,2710,10022664,502826.8912200,0
1731809880000,0.0505000,0.0505200,0.0500600,0.0502000,4268555,1731810059999,214597.6052400,1503,2040305,102575.1170500,0
1731810060000,0.0501900,0.0504500,0.0499500,0.0501700,4895469,1731810239999,245824.8629200,1802,2505432,125871.5224500,0
1731810240000,0.0501900,0.0503700,0.0497500,0.0503400,6368719,1731810419999,318663.7798800,1919,2885454,144518.4170800,0
1731810420000,0.0503400,0.0503900,0.0496600,0.0498300,4034223,1731810599999,201231.9057100,1507,1610401,80343.9590500,0
1731810600000,0.0498200,0.0506500,0.0497400,0.0504400,4721246,1731810779999,237418.2136100,1944,2306579,115881.6025600,0
1731810780000,0.0504200,0.0504600,0.0498500,0.0501600,5561687,1731810959999,278942.0660000,2241,2567637,128736.1298700,0
1731810960000,0.0501700,0.0507900,0.0500000,0.0506000,9333312,1731811139999,471570.9490100,2727,4597467,232117.1049200,0
1731811140000,0.0505900,0.0518900,0.0505300,0.0515600,12619485,1731811319999,648182.0761000,3676,6913672,354793.2587900,0
1731811320000,0.0515700,0.0520400,0.0515700,0.0519300,7677814,1731811499999,398286.5564700,1958,2848894,147779.2884000,0
1731811500000,0.0519300,0.0520600,0.0514700,0.0518300,9106995,1731811679999,472107.3211800,2491,3845503,199357.8558300,0
1731811680000,0.0518500,0.0522400,0.0516300,0.0518800,9006432,1731811859999,467911.7022200,2203,3844618,199753.5167200,0
1731811860000,0.0518800,0.0520300,0.0515600,0.0518800,2719876,1731812039999,140831.2064800,1150,1273798,65987.2264700,0
1731812040000,0.0518600,0.0518900,0.0514500,0.0515100,2396659,1731812219999,123641.8336900,1017,1279616,66026.7929800,0
1731812220000,0.0515100,0.0515600,0.0512000,0.0513400,2212522,1731812399999,113724.1711000,951,832394,42797.2895800,0
1731812400000,0.0513400,0.0513400,0.0504600,0.0506600,9586057,1731812579999,486703.0978100,2232,3606763,183322.0357500,0
1731812580000,0.0506700,0.0510200,0.0506300,0.0508100,3130288,1731812759999,158970.3028500,1089,1309383,66524.2051700,0
1731812760000,0.0508100,0.0508100,0.0500800,0.0502100,4804490,1731812939999,242020.3738400,1519,1937444,97741.4263000,0
1731812940000,0.0502000,0.0504400,0.0501200,0.0504400,4194478,1731813119999,210774.3176800,1511,2706979,136040.7984700,0
1731813120000,0.0504300,0.0506700,0.0502800,0.0503700,1729250,1731813299999,87314.9027000,903,770577,38919.2750600,0
1731813300000,0.0503700,0.0505800,0.0501000,0.0505800,3409138,1731813479999,171495.6277500,1207,1990044,100109.4438800,0
1731813480000,0.0505900,0.0505900,0.0501100,0.0501800,4139609,1731813659999,208437.4844100,1289,2064166,104022.4784000,0
1731813660000,0.0501900,0.0502900,0.0501200,0.0501800,2903952,1731813839999,145761.6535300,1098,2140773,107462.2780300,0
1731813840000,0.0501700,0.0510300,0.0501600,0.0510300,4369216,1731814019999,221140.9242100,1443,2795058,141364.6021600,0
