open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733270400000,0.0007790,0.0007868,0.0007790,0.0007868,44224200,1733270579999,34617.7292481,640,32266115,25257.0700537,0
1733270580000,0.0007869,0.0007900,0.0007862,0.0007886,48567263,1733270759999,38293.4093121,663,23124331,18234.0243772,0
1733270760000,0.0007887,0.0007899,0.0007864,0.0007865,17831179,1733270939999,14058.0444121,302,5413423,4268.2471855,0
1733270940000,0.0007866,0.0007876,0.0007843,0.0007874,27217787,1733271119999,21393.5510606,398,13151316,10339.4757407,0
1733271120000,0.0007874,0.0007880,0.0007856,0.0007879,20586996,1733271299999,16211.0402550,317,10476722,8250.7618810,0
1733271300000,0.0007880,0.0007888,0.0007858,0.0007858,15239321,1733271479999,12002.2912715,339,6022000,4743.9666728,0
1733271480000,0.0007857,0.0007860,0.0007804,0.0007844,78412273,1733271659999,61447.3894769,771,34136391,26764.7235860,0
1733271660000,0.0007844,0.0007846,0.0007830,0.0007846,11634069,1733271839999,9118.1600497,252,6756684,5296.2945537,0
1733271840000,0.0007847,0.0007890,0.0007841,0.0007885,29229512,1733272019999,23005.8710564,361,21967566,17287.5099641,0
1733272020000,0.0007885,0.0007900,0.0007854,0.0007889,40497831,1733272199999,31933.7675393,394,20035275,15806.9555811,0
1733272200000,0.0007891,0.0007947,0.0007891,0.0007946,77847767,1733272379999,61628.1186511,844,46922773,37145.3019586,0
1733272380000,0.0007947,0.0007980,0.0007944,0.0007973,41657353,1733272559999,33166.1649663,605,32595007,25949.3572811,0
1733272560000,0.0007973,0.0008026,0.0007956,0.0007975,78801476,1733272739999,62971.2037933,892,50159418,40117.3371036,0
1733272740000,0.0007977,0.0007977,0.0007956,0.0007960,32564285,1733272919999,25924.7590747,342,7044367,5609.2517259,0
1733272920000,0.0007960,0.0007979,0.0007955,0.0007976,18804495,1733273099999,14978.6151419,262,4440820,3538.3633480,0
1733273100000,0.0007976,0.0007988,0.0007960,0.0007978,43114325,1733273279999,34341.0338443,414,12013579,9575.8245757,0
1733273280000,0.0007976,0.0008121,0.0007972,0.0008119,124413776,1733273459999,100141.7523523,1600,93425783,75213.4650749,0
