open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1683158400000,0.1060000,0.1066000,0.1060000,0.1065000,561206,1683158579999,59722.4206000,175,295829,31466.0873000,0
1683158580000,0.1064000,0.1065000,0.1064000,0.1065000,66219,1683158759999,7048.5549000,35,28533,3038.7645000,0
1683158760000,0.1064000,0.1064000,0.1061000,0.1062000,215069,1683158939999,22844.7877000,90,78871,8371.0548000,0
1683158940000,0.1061000,0.1061000,0.1059000,0.1060000,304789,1683159119999,32312.0435000,126,125253,13279.0622000,0
1683159120000,0.1061000,0.1063000,0.1061000,0.1063000,102941,1683159299999,10932.6799000,38,101403,10769.4387000,0
1683159300000,0.1062000,0.1062000,0.1059000,0.1061000,228616,1683159479999,24261.0682000,90,66723,7080.0471000,0
1683159480000,0.1060000,0.1062000,0.1037000,0.1053000,4412642,1683159659999,464484.0515000,898,1196288,126028.4249000,0
1683159660000,0.1052000,0.1054000,0.1051000,0.1052000,699330,1683159839999,73582.6033000,163,374991,39453.8357000,0
1683159840000,0.1051000,0.1055000,0.1051000,0.1054000,682266,1683160019999,71872.1752000,163,486032,51191.9674000,0
1683160020000,0.1054000,0.1055000,0.1053000,0.1054000,343963,1683160199999,36253.6074000,88,129839,13685.1399000,0
1683160200000,0.1054000,0.1058000,0.1054000,0.1055000,550648,1683160379999,58148.6205000,209,296909,31343.0698000,0
1683160380000,0.1056000,0.1056000,0.1051000,0.1052000,360451,1683160559999,37944.5594000,127,85169,8964.9299000,0
1683160560000,0.1051000,0.1053000,0.1051000,0.1052000,115203,1683160739999,12115.1834000,42,102567,10786.8348000,0
1683160740000,0.1052000,0.1052000,0.1050000,0.1052000,264000,1683160919999,27748.5701000,92,111121,11679.8438000,0
1683160920000,0.1052000,0.1053000,0.1051000,0.1053000,61268,1683161099999,6446.8744000,27,54979,5785.8463000,0
1683161100000,0.1052000,0.1054000,0.1052000,0.1053000,328679,1683161279999,34624.3097000,87,186227,19617.9277000,0
1683161280000,0.1054000,0.1056000,0.1054000,0.1056000,169731,1683161459999,17907.8111000,144,53372,5630.6016000,0
1683161460000,0.1056000,0.1056000,0.1055000,0.1056000,88501,1683161639999,9345.6563000,40,33721,3560.9376000,0
1683161640000,0.1056000,0.1056000,0.1055000,0.1055000,150690,1683161819999,15912.5591000,56,80771,8529.4176000,0
1683161820000,0.1055000,0.1056000,0.1055000,0.1055000,23971,1683161999999,2529.2363000,24,5681,599.6413000,0
1683162000000,0.1054000,0.1056000,0.1054000,0.1055000,361375,1683162179999,38122.2589000,117,221675,23386.7514000,0
1683162180000,0.1056000,0.1056000,0.1055000,0.1055000,74121,1683162359999,7821.2738000,28,24589,2595.6478000,0
1683162360000,0.1056000,0.1056000,0.1055000,0.1055000,117627,1683162539999,12410.1094000,44,49143,5185.0474000,0
1683162540000,0.1056000,0.1056000,0.1054000,0.1055000,69494,1683162719999,7330.3783000,30,22081,2329.9068000,0
1683162720000,0.1056000,0.1056000,0.1056000,0.1056000,3341,1683162899999,352.8096000,4,3341,352.8096000,0
1683162900000,0.1056000,0.1056000,0.1055000,0.1056000,159775,1683163079999,16872.0135000,39,44479,4696.9824000,0
1683163080000,0.1056000,0.1056000,0.1055000,0.1056000,48679,1683163259999,5137.7249000,11,20904,2207.4624000,0
1683163260000,0.1055000,0.1057000,0.1055000,0.1056000,108077,1683163439999,11412.6157000,39,66552,7028.0174000,0
1683163440000,0.1055000,0.1055000,0.1054000,0.1054000,70259,1683163619999,7410.6743000,24,0,0.0000000,0
1683163620000,0.1053000,0.1053000,0.1052000,0.1052000,146263,1683163799999,15388.9738000,41,47902,5039.2904000,0
1683163800000,0.1052000,0.1053000,0.1052000,0.1053000,112025,1683163979999,11794.4589000,41,94289,9928.6317000,0
1683163980000,0.1054000,0.1054000,0.1053000,0.1054000,59318,1683164159999,6250.3808000,58,41954,4421.9516000,0
1683164160000,0.1053000,0.1055000,0.1053000,0.1054000,36305,1683164339999,3826.4850000,25,29583,3118.1398000,0
1683164340000,0.1055000,0.1056000,0.1054000,0.1056000,159912,1683164519999,16870.8155000,60,91130,9614.4619000,0
1683164520000,0.1055000,0.1056000,0.1055000,0.1055000,11472,1683164699999,1210.5921000,18,2961,312.6816000,0
1683164700000,0.1055000,0.1057000,0.1055000,0.1056000,100462,1683164879999,10610.6013000,69,80272,8479.4070000,0
1683164880000,0.1057000,0.1058000,0.1056000,0.1056000,229902,1683165059999,24301.0296000,71,85254,9011.8328000,0
1683165060000,0.1057000,0.1057000,0.1057000,0.1057000,1068,1683165239999,112.8876000,3,1068,112.8876000,0
1683165240000,0.1057000,0.1060000,0.1057000,0.1059000,156326,1683165419999,16536.0751000,70,130580,13809.6015000,0
1683165420000,0.1059000,0.1061000,0.1059000,0.1061000,84308,1683165599999,8936.0677000,50,75722,8026.8103000,0
1683165600000,0.1060000,0.1061000,0.1060000,0.1060000,105618,1683165779999,11204.9254000,53,62501,6631.3561000,0
1683165780000,0.1061000,0.1062000,0.1060000,0.1061000,116797,1683165959999,12390.5589000,53,60068,6373.4607000,0
1683165960000,0.1061000,0.1061000,0.1060000,0.1060000,149094,1683166139999,15804.1181000,59,37364,3960.7381000,0
1683166140000,0.1059000,0.1060000,0.1058000,0.1058000,157839,1683166319999,16710.3433000,72,11305,1197.7296000,0
1683166320000,0.1057000,0.1058000,0.1057000,0.1058000,11915,1683166499999,1259.9441000,7,5286,559.2588000,0
1683166500000,0.1057000,0.1057000,0.1055000,0.1057000,454777,1683166679999,48028.1472000,144,225232,23784.8092000,0
1683166680000,0.1056000,0.1058000,0.1056000,0.1058000,190653,1683166859999,20142.0853000,66,143504,15163.1509000,0
1683166860000,0.1057000,0.1057000,0.1056000,0.1057000,114641,1683167039999,12116.1205000,34,8145,860.9265000,0
1683167040000,0.1057000,0.1057000,0.1055000,0.1057000,82622,1683167219999,8725.2869000,29,70661,7462.3544000,0
1683167220000,0.1057000,0.1057000,0.1056000,0.1057000,42804,1683167399999,4524.3545000,17,42521,4494.4697000,0
1683167400000,0.1057000,0.1057000,0.1055000,0.1056000,134639,1683167579999,14217.9736000,52,64868,6850.2502000,0
1683167580000,0.1055000,0.1056000,0.1055000,0.1056000,10297,1683167759999,1087.1247000,10,7912,835.5072000,0
1683167760000,0.1055000,0.1055000,0.1054000,0.1055000,25500,1683167939999,2689.7840000,34,2774,292.6570000,0
1683167940000,0.1054000,0.1055000,0.1053000,0.1055000,262047,1683168119999,27621.0851000,96,180172,18991.7735000,0
1683168120000,0.1054000,0.1055000,0.1053000,0.1054000,41975,1683168299999,4424.1818000,20,2636,277.8624000,0
1683168300000,0.1053000,0.1056000,0.1053000,0.1055000,256397,1683168479999,27045.1658000,82,96290,10154.5277000,0
1683168480000,0.1055000,0.1055000,0.1054000,0.1055000,103021,1683168659999,10862.9122000,34,77502,8173.2096000,0
1683168660000,0.1055000,0.1055000,0.1054000,0.1055000,167780,1683168839999,17700.7592000,45,59450,6271.9750000,0
1683168840000,0.1055000,0.1056000,0.1055000,0.1055000,89084,1683169019999,9398.6002000,40,25048,2642.8022000,0
1683169020000,0.1054000,0.1055000,0.1052000,0.1055000,353946,1683169199999,37292.0081000,97,137573,14506.0077000,0
1683169200000,0.1056000,0.1058000,0.1055000,0.1057000,595595,1683169379999,62936.2861000,191,229691,24274.8677000,0
1683169380000,0.1056000,0.1057000,0.1056000,0.1056000,40419,1683169559999,4269.4923000,15,12459,1316.9163000,0
1683169560000,0.1056000,0.1057000,0.1056000,0.1056000,11071,1683169739999,1169.3937000,13,2961,312.9777000,0
1683169740000,0.1057000,0.1057000,0.1056000,0.1056000,45175,1683169919999,4771.9880000,24,15080,1593.9560000,0
1683169920000,0.1057000,0.1057000,0.1056000,0.1056000,32198,1683170099999,3402.9079000,14,27991,2958.6487000,0
1683170100000,0.1056000,0.1058000,0.1055000,0.1056000,151859,1683170279999,16048.0284000,62,90575,9572.9946000,0
1683170280000,0.1055000,0.1056000,0.1055000,0.1056000,66382,1683170459999,7006.7438000,30,34428,3635.5968000,0
1683170460000,0.1055000,0.1056000,0.1055000,0.1056000,6966,1683170639999,735.2518000,3,3388,357.7728000,0
1683170640000,0.1055000,0.1056000,0.1054000,0.1054000,52295,1683170819999,5517.1991000,31,5907,623.7792000,0
1683170820000,0.1055000,0.1055000,0.1054000,0.1055000,30354,1683170999999,3202.2208000,9,29092,3069.2060000,0
1683171000000,0.1055000,0.1055000,0.1054000,0.1055000,253934,1683171179999,26775.2503000,84,110303,11629.7167000,0
1683171180000,0.1054000,0.1054000,0.1053000,0.1053000,44000,1683171359999,4637.5588000,25,7438,783.9652000,0
1683171360000,0.1053000,0.1054000,0.1051000,0.1051000,84745,1683171539999,8918.6920000,50,2910,306.7140000,0
1683171540000,0.1052000,0.1052000,0.1051000,0.1052000,146569,1683171719999,15416.3838000,54,119819,12604.9588000,0
1683171720000,0.1051000,0.1053000,0.1051000,0.1052000,187680,1683171899999,19755.7128000,77,138447,14571.9703000,0
1683171900000,0.1053000,0.1054000,0.1052000,0.1053000,82288,1683172079999,8664.9007000,35,31211,3286.5426000,0
1683172080000,0.1052000,0.1053000,0.1052000,0.1053000,72302,1683172259999,7611.9115000,29,57411,6045.3783000,0
1683172260000,0.1053000,0.1056000,0.1053000,0.1055000,75601,1683172439999,7972.7961000,37,33535,3536.4635000,0
1683172440000,0.1055000,0.1056000,0.1054000,0.1055000,102098,1683172619999,10771.6615000,41,53043,5596.4274000,0
1683172620000,0.1054000,0.1055000,0.1054000,0.1055000,20167,1683172799999,2125.7232000,6,1214,128.0770000,0
1683172800000,0.1054000,0.1058000,0.1054000,0.1058000,467875,1683172979999,49427.0430000,135,336478,35549.0702000,0
1683172980000,0.1058000,0.1059000,0.1058000,0.1058000,19992,1683173159999,2115.5122000,14,3586,379.7574000,0
1683173160000,0.1059000,0.1059000,0.1059000,0.1059000,30686,1683173339999,3249.6474000,15,30686,3249.6474000,0
1683173340000,0.1058000,0.1060000,0.1058000,0.1059000,383458,1683173519999,40607.8643000,125,85218,9024.7210000,0
1683173520000,0.1058000,0.1059000,0.1058000,0.1058000,18583,1683173699999,1966.7005000,12,6191,655.6269000,0
1683173700000,0.1058000,0.1059000,0.1058000,0.1058000,14789,1683173879999,1565.2190000,17,5428,574.8252000,0
1683173880000,0.1059000,0.1059000,0.1058000,0.1058000,21345,1683174059999,2259.8889000,18,15879,1681.5861000,0
1683174060000,0.1059000,0.1059000,0.1057000,0.1057000,86277,1683174239999,9127.6642000,34,14673,1552.8244000,0
1683174240000,0.1058000,0.1059000,0.1057000,0.1058000,249997,1683174419999,26450.3775000,90,115290,12198.5122000,0
1683174420000,0.1057000,0.1058000,0.1057000,0.1057000,16499,1683174599999,1744.2107000,11,2664,281.8512000,0
1683174600000,0.1057000,0.1058000,0.1057000,0.1058000,52826,1683174779999,5587.9474000,26,42392,4485.0736000,0
1683174780000,0.1057000,0.1058000,0.1057000,0.1058000,22986,1683174959999,2430.0410000,24,4208,445.2064000,0
1683174960000,0.1057000,0.1057000,0.1056000,0.1056000,77463,1683175139999,8186.7872000,34,10554,1115.5578000,0
1683175140000,0.1057000,0.1057000,0.1055000,0.1057000,144617,1683175319999,15271.5616000,60,95140,10047.4929000,0
1683175320000,0.1056000,0.1057000,0.1056000,0.1056000,13822,1683175499999,1459.7180000,29,1148,121.3436000,0
1683175500000,0.1056000,0.1056000,0.1055000,0.1055000,84568,1683175679999,8930.0638000,64,30620,3233.4720000,0
1683175680000,0.1056000,0.1056000,0.1055000,0.1056000,101902,1683175859999,10760.2681000,44,69658,7355.8848000,0
1683175860000,0.1057000,0.1057000,0.1056000,0.1056000,10843,1683176039999,1145.2721000,11,2513,265.6241000,0
1683176040000,0.1056000,0.1057000,0.1056000,0.1056000,12494,1683176219999,1319.5251000,9,1587,167.7459000,0
1683176220000,0.1056000,0.1056000,0.1056000,0.1056000,136,1683176399999,14.3616000,2,0,0.0000000,0
1683176400000,0.1056000,0.1056000,0.1054000,0.1055000,232970,1683176579999,24582.2785000,100,90395,9536.9860000,0
1683176580000,0.1054000,0.1055000,0.1054000,0.1054000,10548,1683176759999,1112.1661000,8,4069,429.2795000,0
1683176760000,0.1055000,0.1055000,0.1055000,0.1055000,1097,1683176939999,115.7335000,1,1097,115.7335000,0
1683176940000,0.1054000,0.1055000,0.1053000,0.1055000,143781,1683177119999,15158.2718000,101,118068,12448.9876000,0
1683177120000,0.1056000,0.1057000,0.1055000,0.1057000,65054,1683177299999,6869.6788000,26,64581,6819.7773000,0
1683177300000,0.1056000,0.1056000,0.1055000,0.1056000,178418,1683177479999,18840.2431000,53,68800,7265.2800000,0
1683177480000,0.1055000,0.1056000,0.1055000,0.1056000,9861,1683177659999,1040.7358000,8,4003,422.7168000,0
1683177660000,0.1055000,0.1057000,0.1055000,0.1057000,50669,1683177839999,5350.6503000,18,48693,5142.1823000,0
1683177840000,0.1056000,0.1056000,0.1056000,0.1056000,8131,1683178019999,858.6336000,6,0,0.0000000,0
1683178020000,0.1056000,0.1057000,0.1056000,0.1057000,16788,1683178199999,1774.3938000,4,15810,1671.1170000,0
1683178200000,0.1056000,0.1057000,0.1055000,0.1057000,258926,1683178379999,27349.9927000,107,149289,15770.0382000,0
1683178380000,0.1058000,0.1060000,0.1057000,0.1058000,151001,1683178559999,15987.5233000,77,82282,8711.3635000,0
1683178560000,0.1059000,0.1059000,0.1058000,0.1058000,34849,1683178739999,3687.2143000,17,1901,201.3159000,0
1683178740000,0.1057000,0.1059000,0.1057000,0.1059000,80244,1683178919999,8489.1204000,38,72296,7649.0168000,0
1683178920000,0.1058000,0.1059000,0.1058000,0.1058000,15168,1683179099999,1605.0106000,7,2362,250.1358000,0
1683179100000,0.1059000,0.1059000,0.1058000,0.1058000,67194,1683179279999,7109.5990000,22,4738,501.7542000,0
1683179280000,0.1059000,0.1059000,0.1058000,0.1059000,46838,1683179459999,4960.1161000,27,46557,4930.3863000,0
1683179460000,0.1060000,0.1060000,0.1058000,0.1058000,136190,1683179639999,14418.1306000,46,17752,1880.1494000,0
1683179640000,0.1059000,0.1059000,0.1058000,0.1059000,38276,1683179819999,4051.9192000,18,23184,2455.1856000,0
1683179820000,0.1058000,0.1058000,0.1058000,0.1058000,118412,1683179999999,12527.9896000,32,88365,9349.0170000,0
1683180000000,0.1059000,0.1060000,0.1058000,0.1058000,254973,1683180179999,27004.2948000,97,84171,8917.6673000,0
1683180180000,0.1057000,0.1058000,0.1057000,0.1057000,7132,1683180359999,753.8651000,17,887,93.7686000,0
1683180360000,0.1056000,0.1057000,0.1056000,0.1057000,85430,1683180539999,9029.6376000,27,82296,8698.6872000,0
1683180540000,0.1057000,0.1057000,0.1056000,0.1057000,147853,1683180719999,15627.5901000,51,69967,7395.5119000,0
1683180720000,0.1056000,0.1057000,0.1056000,0.1056000,74289,1683180899999,7851.0517000,34,34230,3618.1110000,0
1683180900000,0.1056000,0.1057000,0.1056000,0.1057000,47829,1683181079999,5054.8423000,15,40999,4333.5943000,0
1683181080000,0.1056000,0.1057000,0.1056000,0.1056000,21359,1683181259999,2256.1522000,14,6418,678.3826000,0
1683181260000,0.1057000,0.1057000,0.1056000,0.1056000,5778,1683181439999,610.2782000,8,1214,128.3198000,0
1683181440000,0.1056000,0.1056000,0.1055000,0.1056000,212862,1683181619999,22477.9214000,35,37455,3955.2480000,0
1683181620000,0.1055000,0.1056000,0.1055000,0.1056000,3930,1683181799999,414.7023000,5,873,92.1888000,0
1683181800000,0.1055000,0.1056000,0.1055000,0.1055000,77244,1683181979999,8149.2765000,57,345,36.4320000,0
1683181980000,0.1055000,0.1055000,0.1054000,0.1054000,352979,1683182159999,37210.4865000,105,154732,16311.8605000,0
1683182160000,0.1054000,0.1056000,0.1054000,0.1056000,89590,1683182339999,9451.0041000,39,80064,8446.9637000,0
1683182340000,0.1056000,0.1056000,0.1055000,0.1055000,68493,1683182519999,7226.2351000,22,2236,236.1216000,0
1683182520000,0.1056000,0.1056000,0.1055000,0.1055000,56699,1683182699999,5981.9486000,25,7330,773.5191000,0
1683182700000,0.1055000,0.1056000,0.1054000,0.1056000,102947,1683182879999,10860.2997000,27,95575,10083.2909000,0
1683182880000,0.1056000,0.1056000,0.1055000,0.1055000,5969,1683183059999,630.1208000,12,3913,413.2128000,0
1683183060000,0.1056000,0.1057000,0.1056000,0.1057000,101430,1683183239999,10718.0256000,43,101430,10718.0256000,0
1683183240000,0.1057000,0.1058000,0.1056000,0.1058000,204575,1683183419999,21618.0793000,71,82891,8761.3328000,0
1683183420000,0.1058000,0.1059000,0.1058000,0.1058000,33271,1683183599999,3520.4240000,16,30831,3262.2720000,0
1683183600000,0.1058000,0.1059000,0.1057000,0.1058000,141154,1683183779999,14934.4656000,54,22962,2431.5001000,0
1683183780000,0.1058000,0.1058000,0.1057000,0.1058000,40323,1683183959999,4265.8348000,14,36937,3907.9346000,0
1683183960000,0.1057000,0.1057000,0.1057000,0.1057000,3653,1683184139999,386.1221000,7,0,0.0000000,0
1683184140000,0.1058000,0.1058000,0.1056000,0.1056000,91789,1683184319999,9699.3165000,48,7501,793.2795000,0
1683184320000,0.1056000,0.1056000,0.1055000,0.1056000,152321,1683184499999,16084.6848000,46,111614,11786.4384000,0
1683184500000,0.1055000,0.1055000,0.1055000,0.1055000,35930,1683184679999,3790.6150000,22,0,0.0000000,0
1683184680000,0.1055000,0.1056000,0.1054000,0.1054000,17720,1683184859999,1869.0522000,14,4057,428.0742000,0
1683184860000,0.1054000,0.1055000,0.1053000,0.1054000,143240,1683185039999,15097.6675000,53,69885,7366.0694000,0
1683185040000,0.1054000,0.1054000,0.1050000,0.1051000,1026279,1683185219999,107925.4678000,258,198557,20864.3429000,0
1683185220000,0.1051000,0.1052000,0.1050000,0.1052000,242601,1683185399999,25497.6473000,73,127019,13349.9982000,0
1683185400000,0.1052000,0.1052000,0.1051000,0.1051000,165214,1683185579999,17369.1776000,69,51862,5455.8824000,0
1683185580000,0.1051000,0.1052000,0.1050000,0.1051000,266442,1683185759999,28003.0166000,86,180070,18925.3670000,0
1683185760000,0.1052000,0.1053000,0.1051000,0.1051000,194050,1683185939999,20404.9247000,56,87446,9196.0228000,0
1683185940000,0.1052000,0.1053000,0.1051000,0.1052000,87551,1683186119999,9213.5420000,39,79531,8369.9580000,0
1683186120000,0.1053000,0.1053000,0.1052000,0.1052000,10252,1683186299999,1079.2225000,9,7121,749.8413000,0
1683186300000,0.1052000,0.1053000,0.1052000,0.1052000,21062,1683186479999,2216.7352000,10,10128,1066.4784000,0
1683186480000,0.1052000,0.1052000,0.1051000,0.1051000,77877,1683186659999,8190.8573000,26,178,18.7256000,0
1683186660000,0.1051000,0.1051000,0.1050000,0.1050000,14450,1683186839999,1518.4502000,15,0,0.0000000,0
