open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1683849600000,0.0857000,0.0857000,0.0853000,0.0854000,2252393,1683849779999,192518.5316000,510,811304,69355.8519000,0
1683849780000,0.0853000,0.0854000,0.0852000,0.0854000,536978,1683849959999,45807.7910000,233,210402,17955.5366000,0
1683849960000,0.0853000,0.0854000,0.0852000,0.0854000,935413,1683850139999,79791.4918000,343,360240,30734.3306000,0
1683850140000,0.0853000,0.0854000,0.0852000,0.0852000,1175185,1683850319999,100230.9967000,268,337784,28813.1336000,0
1683850320000,0.0852000,0.0853000,0.0851000,0.0852000,837972,1683850499999,71392.4800000,199,284851,24270.0438000,0
1683850500000,0.0852000,0.0855000,0.0852000,0.0854000,1475946,1683850679999,125971.5174000,330,696577,59448.7822000,0
1683850680000,0.0853000,0.0856000,0.0853000,0.0856000,577814,1683850859999,49376.9055000,214,381664,32618.2366000,0
1683850860000,0.0855000,0.0858000,0.0855000,0.0856000,710132,1683851039999,60827.9724000,217,350994,30067.7223000,0
1683851040000,0.0857000,0.0857000,0.0854000,0.0855000,716929,1683851219999,61333.9748000,181,38819,3324.0931000,0
1683851220000,0.0854000,0.0855000,0.0853000,0.0854000,680144,1683851399999,58078.2706000,163,293157,25035.6876000,0
1683851400000,0.0853000,0.0855000,0.0850000,0.0851000,1155187,1683851579999,98397.8033000,360,396569,33786.5045000,0
1683851580000,0.0852000,0.0853000,0.0850000,0.0850000,1302964,1683851759999,110903.4392000,328,647400,55111.9842000,0
1683851760000,0.0851000,0.0853000,0.0850000,0.0851000,934758,1683851939999,79578.1235000,233,453698,38626.4229000,0
1683851940000,0.0852000,0.0853000,0.0851000,0.0852000,846627,1683852119999,72128.2837000,242,383622,32684.6530000,0
1683852120000,0.0853000,0.0856000,0.0852000,0.0855000,1159968,1683852299999,99112.5919000,309,576247,49223.5342000,0
1683852300000,0.0855000,0.0855000,0.0853000,0.0855000,505238,1683852479999,43152.7376000,193,175164,14965.9699000,0
1683852480000,0.0855000,0.0858000,0.0854000,0.0857000,686232,1683852659999,58745.2033000,235,367274,31442.8841000,0
1683852660000,0.0856000,0.0857000,0.0854000,0.0855000,525325,1683852839999,44945.3306000,221,238648,20420.1699000,0
1683852840000,0.0856000,0.0858000,0.0855000,0.0857000,486784,1683853019999,41682.8301000,186,252612,21632.1140000,0
1683853020000,0.0857000,0.0857000,0.0855000,0.0856000,605405,1683853199999,51831.4742000,194,273132,23393.3237000,0
1683853200000,0.0855000,0.0856000,0.0853000,0.0855000,1082924,1683853379999,92565.4369000,428,489180,41814.9532000,0
1683853380000,0.0854000,0.0855000,0.0852000,0.0852000,822502,1683853559999,70207.9874000,222,264482,22585.9751000,0
1683853560000,0.0852000,0.0854000,0.0851000,0.0853000,1051325,1683853739999,89578.0400000,298,600016,51125.0553000,0
1683853740000,0.0853000,0.0853000,0.0852000,0.0852000,533506,1683853919999,45475.8840000,139,273599,23321.2702000,0
1683853920000,0.0853000,0.0854000,0.0852000,0.0854000,444925,1683854099999,37952.0737000,91,186850,15938.5467000,0
1683854100000,0.0853000,0.0856000,0.0851000,0.0852000,1336494,1683854279999,113983.5303000,339,616873,52619.8223000,0
1683854280000,0.0852000,0.0855000,0.0851000,0.0852000,1490835,1683854459999,127136.4146000,359,792740,67611.4412000,0
1683854460000,0.0852000,0.0853000,0.0848000,0.0848000,1118923,1683854639999,95154.6018000,312,301739,25693.4876000,0
1683854640000,0.0848000,0.0850000,0.0847000,0.0848000,727276,1683854819999,61716.1957000,178,351896,29877.4041000,0
1683854820000,0.0847000,0.0848000,0.0846000,0.0846000,999698,1683854999999,84685.5846000,237,536194,45433.0187000,0
1683855000000,0.0847000,0.0848000,0.0845000,0.0845000,1043982,1683855179999,88394.4524000,298,445291,37720.2584000,0
1683855180000,0.0846000,0.0848000,0.0846000,0.0848000,989207,1683855359999,83801.7874000,274,479607,40623.2520000,0
1683855360000,0.0847000,0.0849000,0.0847000,0.0847000,565338,1683855539999,47939.8404000,160,332240,28175.2560000,0
1683855540000,0.0848000,0.0848000,0.0846000,0.0847000,424193,1683855719999,35930.4624000,151,176566,14956.5671000,0
1683855720000,0.0847000,0.0847000,0.0846000,0.0846000,270925,1683855899999,22945.8402000,72,106988,9061.8836000,0
1683855900000,0.0847000,0.0848000,0.0842000,0.0843000,2792964,1683856079999,235837.4339000,497,919871,77704.6275000,0
1683856080000,0.0842000,0.0846000,0.0841000,0.0844000,1247076,1683856259999,105224.7361000,324,686710,57942.4148000,0
1683856260000,0.0845000,0.0845000,0.0843000,0.0843000,181220,1683856439999,15295.5298000,98,16275,1375.2375000,0
1683856440000,0.0843000,0.0844000,0.0841000,0.0843000,759459,1683856619999,63983.6121000,264,301105,25368.3393000,0
1683856620000,0.0843000,0.0844000,0.0842000,0.0843000,705466,1683856799999,59477.7573000,154,409164,34500.1301000,0
1683856800000,0.0843000,0.0844000,0.0842000,0.0842000,660444,1683856979999,55675.6965000,227,263642,22228.4127000,0
1683856980000,0.0842000,0.0843000,0.0841000,0.0842000,668166,1683857159999,56248.1288000,212,217132,18282.7178000,0
1683857160000,0.0843000,0.0844000,0.0842000,0.0843000,597496,1683857339999,50368.3265000,211,311373,26249.3950000,0
1683857340000,0.0844000,0.0845000,0.0843000,0.0843000,590878,1683857519999,49838.2472000,192,257194,21697.3759000,0
1683857520000,0.0844000,0.0845000,0.0843000,0.0844000,472027,1683857699999,39840.5553000,127,258989,21860.4542000,0
1683857700000,0.0845000,0.0845000,0.0843000,0.0844000,815379,1683857879999,68832.8468000,253,435345,36759.4965000,0
1683857880000,0.0844000,0.0844000,0.0842000,0.0842000,498056,1683858059999,41984.1111000,181,122185,10302.5683000,0
1683858060000,0.0842000,0.0843000,0.0841000,0.0841000,866027,1683858239999,72910.7340000,296,373256,31428.3439000,0
1683858240000,0.0841000,0.0842000,0.0840000,0.0841000,511592,1683858419999,43015.4374000,196,138773,11671.3873000,0
1683858420000,0.0841000,0.0843000,0.0841000,0.0842000,254771,1683858599999,21446.5255000,95,137515,11579.3946000,0
1683858600000,0.0841000,0.0842000,0.0839000,0.0841000,1163736,1683858779999,97815.7841000,270,612322,51476.9132000,0
1683858780000,0.0840000,0.0841000,0.0833000,0.0839000,4461051,1683858959999,373261.5237000,956,1726893,144615.1580000,0
1683858960000,0.0840000,0.0840000,0.0838000,0.0838000,1466049,1683859139999,122976.8562000,374,247934,20803.3563000,0
1683859140000,0.0838000,0.0841000,0.0838000,0.0838000,889659,1683859319999,74688.1451000,310,404244,33943.0438000,0
1683859320000,0.0838000,0.0839000,0.0838000,0.0838000,247417,1683859499999,20739.4604000,173,59158,4963.3562000,0
1683859500000,0.0839000,0.0839000,0.0838000,0.0838000,785009,1683859679999,65818.1868000,348,378849,31766.2783000,0
1683859680000,0.0839000,0.0840000,0.0838000,0.0838000,522118,1683859859999,43785.7678000,244,134857,11317.0756000,0
1683859860000,0.0838000,0.0839000,0.0837000,0.0837000,356155,1683860039999,29846.1510000,204,50871,4267.6133000,0
1683860040000,0.0837000,0.0838000,0.0823000,0.0824000,10619774,1683860219999,879734.8508000,2452,2738415,226752.2775000,0
1683860220000,0.0824000,0.0829000,0.0822000,0.0829000,4314930,1683860399999,355922.7783000,688,2330557,192340.4993000,0
1683860400000,0.0829000,0.0830000,0.0827000,0.0829000,2420225,1683860579999,200530.9269000,635,1156724,95855.5014000,0
1683860580000,0.0828000,0.0831000,0.0828000,0.0830000,808318,1683860759999,67085.4872000,309,435360,36135.4420000,0
1683860760000,0.0829000,0.0831000,0.0827000,0.0827000,1585722,1683860939999,131455.7602000,298,691729,57355.7319000,0
1683860940000,0.0828000,0.0829000,0.0825000,0.0829000,1874375,1683861119999,154952.8062000,442,925050,76497.2707000,0
1683861120000,0.0829000,0.0829000,0.0823000,0.0825000,1634601,1683861299999,134986.3039000,413,586991,48487.6945000,0
