open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1727913600000,0.0092325,0.0093115,0.0092265,0.0092745,13374414,1727913779999,124087.0400562,368,8843745,82032.8198177,0
1727913780000,0.0092742,0.0092840,0.0092063,0.0092333,4437609,1727913959999,41014.3930238,229,2097212,19384.0006787,0
1727913960000,0.0092394,0.0093201,0.0092251,0.0092831,5265660,1727914139999,48820.2597980,277,2210707,20476.9644990,0
1727914140000,0.0092826,0.0093735,0.0092671,0.0093667,10236847,1727914319999,95483.8533053,462,6751048,62965.1457278,0
1727914320000,0.0093645,0.0093962,0.0093463,0.0093518,10098384,1727914499999,94622.3649040,389,3695188,34642.6681552,0
1727914500000,0.0093490,0.0093661,0.0092960,0.0092984,8511583,1727914679999,79472.0199990,323,2645951,24699.4382137,0
1727914680000,0.0093004,0.0093004,0.0092197,0.0092206,5973534,1727914859999,55280.0636269,239,2783789,25781.1808783,0
1727914860000,0.0092217,0.0092389,0.0091774,0.0091785,8170451,1727915039999,75301.6775244,337,4109664,37901.0018584,0
1727915040000,0.0091827,0.0092039,0.0091232,0.0091723,15346021,1727915219999,140676.6520782,492,7640708,70037.3987058,0
1727915220000,0.0091722,0.0092587,0.0091722,0.0092587,10508542,1727915399999,97007.5102815,380,7141098,65917.8459345,0
1727915400000,0.0092598,0.0093725,0.0092476,0.0093524,14623294,1727915579999,135951.3051180,584,6394614,59456.0057554,0
1727915580000,0.0093575,0.0094344,0.0093575,0.0094177,16762453,1727915759999,157606.3333445,634,9989263,93984.6813356,0
1727915760000,0.0094172,0.0094882,0.0093928,0.0094610,18970062,1727915939999,179026.6474495,785,9866494,93174.2886620,0
1727915940000,0.0094616,0.0094848,0.0094287,0.0094344,9855156,1727916119999,93155.1886666,379,3089593,29222.7803367,0
1727916120000,0.0094342,0.0094345,0.0093768,0.0093970,11724733,1727916299999,110363.6030472,349,4187235,39412.5974700,0
