open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1690243200000,0.0013465,0.0013476,0.0013439,0.0013463,330228256,1690243379999,444339.5740771,1523,163139021,219483.2100392,0
1690243380000,0.0013463,0.0013557,0.0013461,0.0013496,961744849,1690243559999,1299476.1044525,3892,539946492,729419.6446122,0
1690243560000,0.0013496,0.0013503,0.0013435,0.0013435,307051631,1690243739999,413698.4327072,1312,137866705,185758.6246486,0
1690243740000,0.0013435,0.0013454,0.0013432,0.0013450,281579792,1690243919999,378487.4289748,1054,174801323,234967.3152509,0
1690243920000,0.0013450,0.0013493,0.0013449,0.0013489,168931758,1690244099999,227517.4909941,822,92770966,124956.1977741,0
1690244100000,0.0013488,0.0013500,0.0013468,0.0013469,168677104,1690244279999,227442.6133841,762,74605119,100597.4228109,0
1690244280000,0.0013469,0.0013511,0.0013469,0.0013508,167252338,1690244459999,225683.3495185,752,118788143,160295.5256427,0
1690244460000,0.0013508,0.0013535,0.0013500,0.0013516,485266870,1690244639999,656148.7841493,1751,194639286,263182.9675104,0
1690244640000,0.0013516,0.0013566,0.0013515,0.0013564,329365653,1690244819999,446098.2477562,1235,221559683,300101.7534941,0
1690244820000,0.0013563,0.0013564,0.0013519,0.0013522,274554926,1690244999999,371885.9171976,940,108804025,147405.3217223,0
1690245000000,0.0013522,0.0013542,0.0013517,0.0013526,253347360,1690245179999,342763.3543918,961,135555447,183400.7084241,0
1690245180000,0.0013526,0.0013529,0.0013465,0.0013478,302527032,1690245359999,408249.5091409,1263,137860789,186003.4745032,0
1690245360000,0.0013478,0.0013480,0.0013420,0.0013449,344225431,1690245539999,462928.4129860,1365,138623311,186451.9037278,0
1690245540000,0.0013449,0.0013471,0.0013428,0.0013448,298338741,1690245719999,401404.6221084,1142,167065887,224801.1229190,0
1690245720000,0.0013449,0.0013461,0.0013427,0.0013447,275300555,1690245899999,370064.6453009,1036,134291137,180522.5443987,0
1690245900000,0.0013447,0.0013465,0.0013432,0.0013436,241061619,1690246079999,324279.0837314,868,127606947,171679.1473634,0
1690246080000,0.0013436,0.0013438,0.0013409,0.0013411,239997221,1690246259999,322096.2620685,957,88994818,119437.5564930,0
1690246260000,0.0013412,0.0013419,0.0013374,0.0013375,331300769,1690246439999,443852.7057115,1264,159801297,214079.5967457,0
1690246440000,0.0013375,0.0013433,0.0013371,0.0013397,850008402,1690246619999,1139447.5229626,2687,544675118,730083.6437309,0
1690246620000,0.0013397,0.0013433,0.0013395,0.0013428,302524350,1690246799999,405989.9787778,1118,130897444,175628.9071357,0
1690246800000,0.0013428,0.0013440,0.0013407,0.0013436,199364488,1690246979999,267670.5007876,1020,86605381,116285.6147698,0
1690246980000,0.0013437,0.0013437,0.0013412,0.0013424,153709598,1690247159999,206331.3702780,708,91927215,123385.8164958,0
1690247160000,0.0013424,0.0013431,0.0013404,0.0013404,175577725,1690247339999,235588.7832634,694,75441220,101236.7466785,0
1690247340000,0.0013404,0.0013425,0.0013368,0.0013394,507266348,1690247519999,679457.1677879,1948,255513401,342187.1372452,0
1690247520000,0.0013393,0.0013402,0.0013360,0.0013367,270435279,1690247699999,361751.8063081,1118,117527382,157228.1320133,0
1690247700000,0.0013367,0.0013421,0.0013347,0.0013388,566052305,1690247879999,757900.6955688,2037,266178816,356371.7678511,0
1690247880000,0.0013389,0.0013405,0.0013369,0.0013391,210223960,1690248059999,281420.4694145,816,132297561,177081.0981456,0
1690248060000,0.0013392,0.0013420,0.0013379,0.0013410,391819889,1690248239999,525071.8193718,1226,169882924,227674.8799529,0
1690248240000,0.0013409,0.0013411,0.0013379,0.0013379,310943729,1690248419999,416367.0321170,955,163596675,219055.7288311,0
1690248420000,0.0013379,0.0013402,0.0013375,0.0013391,156259931,1690248599999,209183.2058197,534,87184466,116713.2602198,0
1690248600000,0.0013391,0.0013400,0.0013363,0.0013366,124670835,1690248779999,166817.6050914,551,45691300,61139.2025012,0
1690248780000,0.0013365,0.0013372,0.0013344,0.0013372,222596923,1690248959999,297328.0806431,801,124283590,166025.8742946,0
1690248960000,0.0013372,0.0013376,0.0013353,0.0013355,149982675,1690249139999,200488.6102934,553,51628467,69025.5344603,0
1690249140000,0.0013355,0.0013365,0.0013347,0.0013357,177062603,1690249319999,236498.1992639,759,98580705,131674.4940332,0
1690249320000,0.0013358,0.0013359,0.0013343,0.0013351,140555646,1690249499999,187641.6912196,562,53829556,71869.4059213,0
1690249500000,0.0013352,0.0013382,0.0013352,0.0013375,174912559,1690249679999,233794.7677795,692,111322621,148807.7807675,0
1690249680000,0.0013375,0.0013393,0.0013372,0.0013377,100814740,1690249859999,134912.4468981,497,58270581,77978.2856960,0
1690249860000,0.0013377,0.0013379,0.0013357,0.0013361,73109715,1690250039999,97732.0594776,422,32838301,43892.0983483,0
1690250040000,0.0013361,0.0013374,0.0013345,0.0013361,137417429,1690250219999,183547.8124766,648,54987563,73436.1280817,0
1690250220000,0.0013362,0.0013376,0.0013355,0.0013375,84705938,1690250399999,113204.9833422,320,45377573,60642.6604762,0
1690250400000,0.0013376,0.0013417,0.0013374,0.0013402,448411690,1690250579999,600901.5487703,1483,203469801,272575.5252184,0
1690250580000,0.0013402,0.0013461,0.0013383,0.0013452,1185354474,1690250759999,1591753.5001247,2556,689410641,925822.0473928,0
1690250760000,0.0013452,0.0013466,0.0013415,0.0013427,272647451,1690250939999,366494.5975913,927,125507244,168699.3175632,0
1690250940000,0.0013425,0.0013441,0.0013418,0.0013426,184020578,1690251119999,247125.4281797,626,95507194,128257.4625237,0
1690251120000,0.0013426,0.0013451,0.0013426,0.0013436,157569799,1690251299999,211766.3575766,526,78483690,105482.8105783,0
1690251300000,0.0013437,0.0013460,0.0013428,0.0013445,207931548,1690251479999,279521.1557805,738,110408881,148400.6681459,0
1690251480000,0.0013447,0.0013449,0.0013421,0.0013430,210445392,1690251659999,282663.7684711,690,114653117,153992.9275071,0
1690251660000,0.0013431,0.0013437,0.0013411,0.0013424,121348361,1690251839999,162887.4756677,472,48670678,65326.8608835,0
1690251840000,0.0013423,0.0013435,0.0013419,0.0013435,110821614,1690252019999,148767.4782273,417,53937865,72410.9071712,0
1690252020000,0.0013434,0.0013442,0.0013432,0.0013439,123589465,1690252199999,166070.7177622,421,61270566,82328.3345795,0
1690252200000,0.0013439,0.0013460,0.0013439,0.0013459,240931380,1690252379999,324075.7878110,883,121742000,163751.4164781,0
1690252380000,0.0013458,0.0013490,0.0013458,0.0013489,329066388,1690252559999,443346.6437317,1047,213036345,286992.0468080,0
1690252560000,0.0013489,0.0013529,0.0013488,0.0013515,725318393,1690252739999,979866.0559820,2061,389773753,526511.9424470,0
1690252740000,0.0013514,0.0013528,0.0013505,0.0013526,256152094,1690252919999,346202.2221297,810,132865763,179589.4255944,0
1690252920000,0.0013526,0.0013526,0.0013503,0.0013511,202871305,1690253099999,274165.2209325,680,87110162,117715.6683956,0
1690253100000,0.0013512,0.0013531,0.0013512,0.0013519,219628429,1690253279999,296984.2731778,690,115182413,155754.7311423,0
1690253280000,0.0013519,0.0013519,0.0013472,0.0013476,392057111,1690253459999,528816.3168600,1240,191894228,258825.2678132,0
1690253460000,0.0013476,0.0013476,0.0013460,0.0013466,149947079,1690253639999,201965.8110667,584,62559985,84267.0175025,0
1690253640000,0.0013466,0.0013471,0.0013452,0.0013458,145839114,1690253819999,196304.5837837,625,75220977,101246.3229938,0
1690253820000,0.0013458,0.0013476,0.0013456,0.0013466,140023041,1690253999999,188557.8549616,503,95732524,128925.7881683,0
1690254000000,0.0013466,0.0013488,0.0013445,0.0013459,305623059,1690254179999,411629.0449380,1326,156314849,210552.0077590,0
1690254180000,0.0013459,0.0013492,0.0013455,0.0013492,201948990,1690254359999,272057.8804852,712,152288091,205157.4742288,0
1690254360000,0.0013492,0.0013492,0.0013462,0.0013471,141706019,1690254539999,190979.7791323,539,34727496,46789.5463409,0
1690254540000,0.0013471,0.0013471,0.0013443,0.0013446,138402680,1690254719999,186225.7875314,589,54370254,73161.1044056,0
1690254720000,0.0013446,0.0013451,0.0013429,0.0013444,174391485,1690254899999,234381.2703102,638,75072222,100906.4842572,0
1690254900000,0.0013441,0.0013467,0.0013439,0.0013439,164840757,1690255079999,221739.3776752,755,74423138,100117.0366456,0
1690255080000,0.0013439,0.0013448,0.0013413,0.0013413,240248632,1690255259999,322602.4816248,731,134915953,181177.7933208,0
1690255260000,0.0013413,0.0013421,0.0013379,0.0013379,455200949,1690255439999,609750.8931631,1490,199373821,267022.7751495,0
1690255440000,0.0013379,0.0013385,0.0013358,0.0013364,226177841,1690255619999,302440.0733747,901,118208713,158074.0600878,0
1690255620000,0.0013365,0.0013371,0.0013350,0.0013366,236576086,1690255799999,316061.8389375,747,87580231,117021.8225963,0
1690255800000,0.0013365,0.0013373,0.0013349,0.0013365,245771363,1690255979999,328425.4039327,888,138359218,184899.3081189,0
1690255980000,0.0013365,0.0013365,0.0013331,0.0013341,287160088,1690256159999,383240.5156911,821,125736831,167795.3070637,0
1690256160000,0.0013343,0.0013346,0.0013336,0.0013337,165052384,1690256339999,220199.1740311,535,92210965,123022.6807468,0
1690256340000,0.0013338,0.0013357,0.0013338,0.0013351,242013469,1690256519999,323078.2090214,686,150396851,200766.9971926,0
1690256520000,0.0013351,0.0013361,0.0013346,0.0013361,152215973,1690256699999,203241.0638216,387,115848722,154692.3560664,0
1690256700000,0.0013361,0.0013374,0.0013348,0.0013348,186293135,1690256879999,248916.5243994,673,81341101,108700.5579188,0
1690256880000,0.0013348,0.0013372,0.0013344,0.0013370,190864553,1690257059999,254897.1274122,634,106055283,141660.6970071,0
1690257060000,0.0013370,0.0013379,0.0013357,0.0013374,112615493,1690257239999,150543.4104672,546,66721135,89195.3292566,0
1690257240000,0.0013372,0.0013377,0.0013362,0.0013362,130522011,1690257419999,174489.7697054,564,60628019,81051.2238430,0
1690257420000,0.0013362,0.0013369,0.0013349,0.0013366,234202319,1690257599999,312838.7027642,924,86204824,115162.7365382,0
1690257600000,0.0013366,0.0013376,0.0013348,0.0013352,178305115,1690257779999,238211.7424717,900,77235473,103183.8033505,0
1690257780000,0.0013352,0.0013354,0.0013341,0.0013347,121767853,1690257959999,162533.1040603,589,78058891,104192.6825678,0
1690257960000,0.0013346,0.0013347,0.0013328,0.0013340,180126436,1690258139999,240234.1668626,661,76238519,101679.3437198,0
1690258140000,0.0013341,0.0013354,0.0013336,0.0013348,217732440,1690258319999,290519.1121309,681,125704171,167723.8487130,0
1690258320000,0.0013347,0.0013348,0.0013327,0.0013337,155722563,1690258499999,207647.3999029,564,90803760,121070.3797148,0
1690258500000,0.0013338,0.0013349,0.0013304,0.0013305,436970750,1690258679999,582269.6201986,1400,163597226,218067.9671258,0
1690258680000,0.0013306,0.0013317,0.0013250,0.0013274,977740405,1690258859999,1298093.2453226,3127,407055013,540446.4221581,0
1690258860000,0.0013273,0.0013287,0.0013265,0.0013270,189685983,1690259039999,251818.0222706,773,94318412,125226.1016695,0
1690259040000,0.0013270,0.0013270,0.0013222,0.0013230,598976371,1690259219999,792891.1722824,1853,193742214,256451.5147442,0
1690259220000,0.0013231,0.0013234,0.0013116,0.0013184,1814293433,1690259399999,2390199.9040465,5234,556638597,733498.0313362,0
1690259400000,0.0013184,0.0013233,0.0013165,0.0013186,1353660697,1690259579999,1786214.1339512,4007,675741642,891703.3117992,0
1690259580000,0.0013186,0.0013194,0.0013170,0.0013170,486458188,1690259759999,641377.1051177,1302,256620121,338348.8149617,0
1690259760000,0.0013169,0.0013169,0.0012833,0.0012958,5985275227,1690259939999,7774180.1005701,17129,1957780051,2542721.7369664,0
1690259940000,0.0012958,0.0013024,0.0012934,0.0012992,2933744245,1690260119999,3809730.4162777,6991,1542447789,2003093.4783770,0
1690260120000,0.0012993,0.0013038,0.0012972,0.0013013,1176445463,1690260299999,1530282.5579686,2939,518432318,674418.0292120,0
1690260300000,0.0013014,0.0013077,0.0013014,0.0013069,731058022,1690260479999,954339.6168161,2015,472307728,616514.7980548,0
1690260480000,0.0013069,0.0013126,0.0013041,0.0013114,1225975713,1690260659999,1604489.8238611,3107,656154600,858814.4371740,0
1690260660000,0.0013116,0.0013124,0.0013076,0.0013083,458894906,1690260839999,600915.2565530,1379,181651568,237875.4171503,0
1690260840000,0.0013082,0.0013123,0.0013075,0.0013093,399381811,1690261019999,523076.5703905,1375,217112454,284380.9322003,0
1690261020000,0.0013092,0.0013125,0.0013083,0.0013115,232814820,1690261199999,305042.4522896,930,149976855,196490.2839995,0
1690261200000,0.0013116,0.0013140,0.0013090,0.0013135,486881829,1690261379999,638629.2161758,1872,249245583,326994.9206193,0
1690261380000,0.0013136,0.0013141,0.0013125,0.0013137,269194403,1690261559999,353560.8549815,918,133449724,175267.1003795,0
1690261560000,0.0013138,0.0013147,0.0013125,0.0013146,356597641,1690261739999,468431.3369180,827,165067838,216849.8696023,0
1690261740000,0.0013146,0.0013155,0.0013136,0.0013150,196545393,1690261919999,258377.2548732,801,115709501,152118.4937253,0
1690261920000,0.0013150,0.0013188,0.0013137,0.0013183,589165698,1690262099999,775449.2976010,1658,419816719,552646.0021473,0
1690262100000,0.0013183,0.0013238,0.0013171,0.0013203,1163773232,1690262279999,1536871.4488451,3436,501872673,662782.1140143,0
1690262280000,0.0013203,0.0013263,0.0013184,0.0013250,699430090,1690262459999,924727.0891253,2236,427083890,564845.3849540,0
1690262460000,0.0013251,0.0013275,0.0013245,0.0013251,326947658,1690262639999,433560.1899046,1001,195445605,259182.1255173,0
1690262640000,0.0013252,0.0013271,0.0013225,0.0013236,446874283,1690262819999,592133.4480747,1355,175226305,232234.5767912,0
1690262820000,0.0013235,0.0013244,0.0013217,0.0013217,335074422,1690262999999,443250.5676752,1068,127493097,168667.5941000,0
1690263000000,0.0013216,0.0013247,0.0013213,0.0013241,313122455,1690263179999,414154.6927566,975,159831879,211420.8762805,0
1690263180000,0.0013242,0.0013262,0.0013242,0.0013252,227570800,1690263359999,301607.6134607,780,146259876,193849.0834448,0
1690263360000,0.0013252,0.0013281,0.0013241,0.0013244,346384955,1690263539999,459352.9971151,1086,198977519,263919.5731426,0
1690263540000,0.0013244,0.0013252,0.0013223,0.0013223,212428372,1690263719999,281149.2899445,764,76511461,101273.5698157,0
1690263720000,0.0013223,0.0013261,0.0013223,0.0013249,272342204,1690263899999,360500.1528146,815,180300648,238674.4147283,0
1690263900000,0.0013247,0.0013266,0.0013241,0.0013252,195885554,1690264079999,259631.1568444,638,132002639,174960.0861723,0
1690264080000,0.0013251,0.0013258,0.0013227,0.0013227,87117722,1690264259999,115385.8771961,472,42006627,55641.2066678,0
1690264260000,0.0013227,0.0013230,0.0013188,0.0013227,523574442,1690264439999,691587.0184257,1760,178138641,235348.8679808,0
1690264440000,0.0013225,0.0013264,0.0013214,0.0013244,215216996,1690264619999,285008.1776900,917,112006234,148324.8061365,0
1690264620000,0.0013245,0.0013247,0.0013219,0.0013235,205113560,1690264799999,271468.9684959,698,88593167,117265.5049717,0
