open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1666483200000,0.0099950,0.0100310,0.0099950,0.0100290,6336153,1666483379999,63452.6912630,247,3036054,30398.1181830,0
1666483380000,0.0100290,0.0100440,0.0100290,0.0100420,5251495,1666483559999,52707.1121060,268,3178877,31895.6850240,0
1666483560000,0.0100420,0.0100430,0.0100270,0.0100360,2945142,1666483739999,29556.3008990,154,1124143,11278.5376800,0
1666483740000,0.0100360,0.0100360,0.0100250,0.0100280,1191139,1666483919999,11948.9435390,67,417322,4185.1004880,0
1666483920000,0.0100280,0.0100290,0.0100260,0.0100290,983379,1666484099999,9859.9377730,22,982635,9852.4776850,0
1666484100000,0.0100310,0.0100330,0.0100280,0.0100280,1714396,1666484279999,17195.5364550,61,1060986,10641.3408490,0
1666484280000,0.0100290,0.0100290,0.0100250,0.0100250,756871,1666484459999,7589.0045090,39,106983,1072.8423600,0
1666484460000,0.0100240,0.0100250,0.0100180,0.0100180,663434,1666484639999,6648.4311500,58,126170,1264.5417000,0
1666484640000,0.0100180,0.0100360,0.0100180,0.0100290,1712671,1666484819999,17168.3110760,69,530948,5323.7752750,0
1666484820000,0.0100280,0.0100280,0.0100240,0.0100250,642871,1666484999999,6446.1121110,30,181490,1819.8371160,0
1666485000000,0.0100260,0.0100270,0.0100140,0.0100150,468273,1666485179999,4692.3799750,36,2298,23.0420460,0
1666485180000,0.0100160,0.0100250,0.0100160,0.0100250,586853,1666485359999,5879.0307510,28,585256,5863.0208260,0
1666485360000,0.0100260,0.0100270,0.0100220,0.0100220,308006,1666485539999,3087.7980850,26,63827,639.8694800,0
1666485540000,0.0100230,0.0100280,0.0100210,0.0100220,508285,1666485719999,5094.5400130,32,39877,399.7444150,0
1666485720000,0.0100210,0.0100210,0.0100030,0.0100060,1418011,1666485899999,14198.1163550,85,112333,1124.2512550,0
1666485900000,0.0100040,0.0100060,0.0099950,0.0100060,2737027,1666486079999,27370.8350430,74,415121,4152.1137670,0
1666486080000,0.0100080,0.0100180,0.0100080,0.0100120,566513,1666486259999,5673.1997870,33,295168,2955.3328510,0
1666486260000,0.0100130,0.0100180,0.0100130,0.0100180,261359,1666486439999,2617.1877290,12,223755,2240.4708570,0
1666486440000,0.0100190,0.0100240,0.0100180,0.0100180,423516,1666486619999,4244.2002460,33,107848,1080.6498300,0
1666486620000,0.0100180,0.0100180,0.0100130,0.0100130,397913,1666486799999,3985.6900570,23,21476,215.1307450,0
1666486800000,0.0100150,0.0100220,0.0100040,0.0100040,618309,1666486979999,6191.8000440,72,161818,1620.6079010,0
1666486980000,0.0100030,0.0100050,0.0099950,0.0099980,1633875,1666487159999,16341.5669220,53,1134467,11347.5715350,0
1666487160000,0.0099970,0.0100030,0.0099900,0.0100010,762715,1666487339999,7624.2415500,38,498375,4982.0415510,0
1666487340000,0.0099970,0.0100080,0.0099970,0.0100010,782502,1666487519999,7825.1607350,36,205393,2054.1483380,0
1666487520000,0.0100020,0.0100020,0.0099980,0.0099980,431263,1666487699999,4311.9024430,9,17514,175.1088930,0
1666487700000,0.0099970,0.0099970,0.0099890,0.0099910,334926,1666487879999,3346.2969640,24,127987,1278.5030850,0
1666487880000,0.0099920,0.0099950,0.0099900,0.0099920,727385,1666488059999,7268.7766180,47,232059,2318.9421720,0
1666488060000,0.0099910,0.0099960,0.0099910,0.0099930,420873,1666488239999,4205.9499690,23,283578,2833.9924980,0
1666488240000,0.0099960,0.0100010,0.0099890,0.0099960,578298,1666488419999,5778.7651300,41,221345,2212.2869660,0
1666488420000,0.0100000,0.0100030,0.0100000,0.0100030,822793,1666488599999,8228.7951960,17,808728,8088.1451960,0
1666488600000,0.0100020,0.0100020,0.0099930,0.0099940,540520,1666488779999,5404.1801460,35,61053,610.2485100,0
1666488780000,0.0099930,0.0099930,0.0099880,0.0099910,339430,1666488959999,3390.9766880,26,71208,711.4905410,0
1666488960000,0.0099920,0.0099990,0.0099920,0.0099980,634425,1666489139999,6341.4159400,22,614642,6143.6073540,0
1666489140000,0.0099980,0.0100000,0.0099810,0.0099810,4010807,1666489319999,40082.2241780,118,324409,3240.9324690,0
1666489320000,0.0099810,0.0099810,0.0099790,0.0099790,276987,1666489499999,2764.3770820,26,49227,491.3346870,0
1666489500000,0.0099820,0.0099820,0.0099690,0.0099740,1164142,1666489679999,11609.3301240,52,615251,6135.8468230,0
1666489680000,0.0099730,0.0099750,0.0099730,0.0099730,437091,1666489859999,4359.5091490,19,94813,945.6762430,0
1666489860000,0.0099730,0.0099730,0.0099730,0.0099730,44754,1666490039999,446.3316420,7,44754,446.3316420,0
1666490040000,0.0099710,0.0099750,0.0099710,0.0099750,1023306,1666490219999,10203.8561940,23,999794,9969.3880420,0
1666490220000,0.0099750,0.0099820,0.0099740,0.0099800,436721,1666490399999,4357.9581340,25,433239,4323.2096340,0
1666490400000,0.0099840,0.0099850,0.0099740,0.0099740,328681,1666490579999,3280.8945090,23,208056,2077.2380140,0
1666490580000,0.0099750,0.0099770,0.0099740,0.0099770,2514630,1666490759999,25084.0041000,59,1847636,18430.6788060,0
1666490760000,0.0099770,0.0099830,0.0099760,0.0099830,1253151,1666490939999,12503.1903360,41,1253151,12503.1903360,0
1666490940000,0.0099830,0.0099920,0.0099810,0.0099920,400795,1666491119999,4001.2859700,43,362169,3615.7278640,0
1666491120000,0.0099920,0.0099920,0.0099820,0.0099880,798197,1666491299999,7970.3973150,79,318245,3177.9387870,0
1666491300000,0.0099880,0.0099970,0.0099880,0.0099970,308764,1666491479999,3084.9475400,54,264085,2638.6285750,0
1666491480000,0.0099980,0.0100360,0.0099980,0.0100320,9447203,1666491659999,94660.0614820,291,5556108,55673.2359660,0
1666491660000,0.0100310,0.0100310,0.0100190,0.0100290,1006235,1666491839999,10086.2737170,67,284192,2848.1202000,0
1666491840000,0.0100270,0.0100500,0.0100270,0.0100430,1449239,1666492019999,14553.9094370,80,782802,7858.5925270,0
1666492020000,0.0100440,0.0100500,0.0100440,0.0100480,3354596,1666492199999,33706.0544590,81,1441431,14483.3005290,0
1666492200000,0.0100490,0.0100540,0.0100370,0.0100440,6195618,1666492379999,62239.1877610,207,2327166,23385.7187070,0
1666492380000,0.0100460,0.0100460,0.0100340,0.0100410,408317,1666492559999,4098.5715320,26,59761,599.7957710,0
1666492560000,0.0100460,0.0100490,0.0100450,0.0100450,343818,1666492739999,3454.2036680,13,83789,841.9786990,0
1666492740000,0.0100460,0.0100500,0.0100460,0.0100460,1820372,1666492919999,18292.0749010,55,1503066,15103.9743790,0
1666492920000,0.0100470,0.0100570,0.0100470,0.0100540,979234,1666493099999,9846.4010320,34,833684,8382.9868600,0
1666493100000,0.0100520,0.0100550,0.0100520,0.0100540,354787,1666493279999,3567.2198470,20,90158,906.5056500,0
1666493280000,0.0100540,0.0100550,0.0100410,0.0100410,500017,1666493459999,5023.5895340,31,11133,111.9311820,0
1666493460000,0.0100380,0.0100380,0.0100280,0.0100280,562605,1666493639999,5645.0008530,37,150437,1509.1888250,0
1666493640000,0.0100280,0.0100280,0.0100260,0.0100260,224869,1666493819999,2254.7422270,12,20412,204.6711240,0
1666493820000,0.0100260,0.0100300,0.0100260,0.0100290,239432,1666493999999,2401.3733370,18,18076,181.2383340,0
1666494000000,0.0100260,0.0100340,0.0100190,0.0100340,2074146,1666494179999,20796.1800290,119,402860,4040.6464730,0
1666494180000,0.0100340,0.0100440,0.0100340,0.0100440,738075,1666494359999,7409.2683670,55,506790,5087.3291790,0
1666494360000,0.0100440,0.0100490,0.0100440,0.0100470,938714,1666494539999,9430.4488980,28,136698,1373.4680420,0
1666494540000,0.0100470,0.0100480,0.0100320,0.0100320,540687,1666494719999,5429.5398530,36,115931,1164.7642290,0
1666494720000,0.0100300,0.0100330,0.0100270,0.0100320,357007,1666494899999,3580.7062670,21,162496,1629.6087140,0
1666494900000,0.0100320,0.0100390,0.0100320,0.0100380,401381,1666495079999,4028.1145420,35,262163,2631.1945580,0
1666495080000,0.0100390,0.0100480,0.0100340,0.0100480,542916,1666495259999,5451.4922460,36,336086,3374.0464500,0
1666495260000,0.0100480,0.0100540,0.0100370,0.0100370,1064412,1666495439999,10692.2939110,50,253270,2545.5154780,0
1666495440000,0.0100350,0.0100360,0.0100270,0.0100270,1030570,1666495619999,10337.1875150,46,351994,3530.8081960,0
1666495620000,0.0100280,0.0100280,0.0100230,0.0100230,95534,1666495799999,957.7647830,13,45386,454.9821340,0
1666495800000,0.0100240,0.0100240,0.0100180,0.0100210,453572,1666495979999,4545.6139070,45,181319,1817.1366460,0
1666495980000,0.0100230,0.0100240,0.0100180,0.0100180,466029,1666496159999,4670.6479240,16,427033,4279.8300120,0
1666496160000,0.0100190,0.0100220,0.0100190,0.0100220,56678,1666496339999,567.9306470,6,38170,382.4634000,0
1666496340000,0.0100180,0.0100180,0.0100170,0.0100170,157804,1666496519999,1580.7913010,14,30105,301.5918900,0
1666496520000,0.0100170,0.0100190,0.0100150,0.0100190,122794,1666496699999,1229.9469090,14,110199,1103.7951000,0
1666496700000,0.0100190,0.0100270,0.0100190,0.0100270,384916,1666496879999,3858.0967010,27,375388,3762.6240290,0
1666496880000,0.0100270,0.0100320,0.0100270,0.0100280,736585,1666497059999,7386.9375600,32,630785,6325.8358660,0
1666497060000,0.0100290,0.0100310,0.0100290,0.0100310,211479,1666497239999,2121.0842650,14,211479,2121.0842650,0
1666497240000,0.0100340,0.0100340,0.0100270,0.0100270,347358,1666497419999,3484.4429580,20,80251,805.2385340,0
1666497420000,0.0100270,0.0100280,0.0100270,0.0100280,54862,1666497599999,550.1312740,3,30000,300.8400000,0
1666497600000,0.0100280,0.0100310,0.0100240,0.0100310,3584331,1666497779999,35939.1481900,106,2175266,21810.8953080,0
1666497780000,0.0100310,0.0100470,0.0100310,0.0100470,811005,1666497959999,8141.2693370,66,802098,8051.7985220,0
1666497960000,0.0100460,0.0100470,0.0100450,0.0100450,536592,1666498139999,5390.7082740,32,174435,1752.5484450,0
1666498140000,0.0100450,0.0100450,0.0100340,0.0100340,675139,1666498319999,6779.9184120,28,47877,480.8825530,0
1666498320000,0.0100310,0.0100340,0.0100310,0.0100340,1193676,1666498499999,11973.8880000,23,1193676,11973.8880000,0
1666498500000,0.0100340,0.0100340,0.0100330,0.0100330,62934,1666498679999,631.4401690,12,5199,52.1667660,0
1666498680000,0.0100310,0.0100310,0.0100270,0.0100280,63906,1666498859999,640.9093020,10,31641,317.2974630,0
1666498860000,0.0100270,0.0100280,0.0100220,0.0100260,433626,1666499039999,4346.9634070,30,283906,2846.0170820,0
1666499040000,0.0100270,0.0100300,0.0100270,0.0100300,331740,1666499219999,3326.9220970,19,163717,1641.6514070,0
1666499220000,0.0100270,0.0100350,0.0100270,0.0100350,2730369,1666499399999,27386.0472070,75,2321806,23289.3620620,0
1666499400000,0.0100360,0.0100360,0.0100280,0.0100280,588420,1666499579999,5903.4738080,38,174204,1747.7602400,0
1666499580000,0.0100300,0.0100300,0.0100260,0.0100260,44579,1666499759999,447.0462210,5,13881,139.2264300,0
1666499760000,0.0100270,0.0100270,0.0100230,0.0100250,338123,1666499939999,3389.1647510,15,271045,2716.7205310,0
1666499940000,0.0100260,0.0100260,0.0100230,0.0100240,92398,1666500119999,926.1988570,16,1995,19.9978800,0
1666500120000,0.0100230,0.0100240,0.0100230,0.0100240,49586,1666500299999,497.0487820,6,48304,484.1992960,0
1666500300000,0.0100230,0.0100230,0.0100170,0.0100170,551371,1666500479999,5524.8568350,37,105608,1058.5064520,0
1666500480000,0.0100150,0.0100210,0.0100130,0.0100190,1488792,1666500659999,14908.9396420,32,1382974,13849.3079030,0
1666500660000,0.0100180,0.0100180,0.0100060,0.0100060,860598,1666500839999,8615.6705380,42,41459,414.9631310,0
1666500840000,0.0100040,0.0100090,0.0099970,0.0100090,3093562,1666501019999,30936.9065730,74,598693,5987.0145570,0
1666501020000,0.0100060,0.0100080,0.0100040,0.0100070,155019,1666501199999,1551.0695770,16,67120,671.5646280,0
1666501200000,0.0100070,0.0100070,0.0100020,0.0100030,629560,1666501379999,6297.9833630,62,193291,1933.6574550,0
1666501380000,0.0100020,0.0100150,0.0100020,0.0100120,1244789,1666501559999,12459.9254030,65,651290,6518.3760660,0
1666501560000,0.0100100,0.0100100,0.0100000,0.0100000,301546,1666501739999,3017.3923290,19,21240,212.5371200,0
1666501740000,0.0100000,0.0100020,0.0099990,0.0099990,200995,1666501919999,2010.0169050,20,126639,1266.4699210,0
1666501920000,0.0099990,0.0099990,0.0099960,0.0099960,495572,1666502099999,4954.4997640,10,7441,74.4025590,0
1666502100000,0.0099950,0.0099980,0.0099940,0.0099980,677647,1666502279999,6773.1248790,17,669355,6690.2258670,0
1666502280000,0.0099980,0.0099980,0.0099820,0.0099860,4394101,1666502459999,43888.7742250,101,1652031,16493.0207120,0
1666502460000,0.0099850,0.0099860,0.0099810,0.0099850,742754,1666502639999,7415.6114180,33,302583,3020.6814270,0
1666502640000,0.0099820,0.0099830,0.0099820,0.0099830,134913,1666502819999,1346.8222770,8,120711,1205.0579130,0
1666502820000,0.0099820,0.0099850,0.0099820,0.0099850,475885,1666502999999,4750.8346900,14,455517,4547.5213140,0
1666503000000,0.0099850,0.0099910,0.0099840,0.0099890,633982,1666503179999,6332.1775640,47,334463,3340.1576760,0
1666503180000,0.0099870,0.0099870,0.0099840,0.0099850,615895,1666503359999,6150.5374000,27,147760,1475.3836000,0
1666503360000,0.0099840,0.0099850,0.0099800,0.0099810,214512,1666503539999,2141.5248910,25,93993,938.5001050,0
1666503540000,0.0099800,0.0099800,0.0099780,0.0099790,454151,1666503719999,4532.1071030,45,156462,1561.3994070,0
