open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1729900800000,0.0165100,0.0165100,0.0163850,0.0163920,6524156,1729900979999,107355.5614690,396,3056188,50305.7336790,0
1729900980000,0.0163990,0.0164140,0.0163480,0.0163640,3521591,1729901159999,57676.3171820,270,1910657,31294.4143380,0
1729901160000,0.0163680,0.0164490,0.0163340,0.0164220,3441559,1729901339999,56458.8132660,326,2040283,33471.5208250,0
1729901340000,0.0164280,0.0164490,0.0163960,0.0164090,3229854,1729901519999,53030.4968000,257,1370174,22502.9970260,0
1729901520000,0.0163920,0.0164280,0.0163640,0.0164170,2250892,1729901699999,36917.3070980,214,1507694,24726.0648120,0
1729901700000,0.0164110,0.0164430,0.0163470,0.0164070,4514342,1729901879999,74012.6759590,310,2380267,39024.0079730,0
1729901880000,0.0164030,0.0164530,0.0163980,0.0164410,2329097,1729902059999,38243.4745870,197,1273826,20915.3332000,0
1729902060000,0.0164410,0.0164560,0.0163980,0.0163980,2047368,1729902239999,33639.0441030,164,927770,15241.8346390,0
1729902240000,0.0163980,0.0164990,0.0163980,0.0164870,2467862,1729902419999,40606.9655540,205,1434333,23598.4746120,0
1729902420000,0.0164930,0.0165390,0.0164930,0.0165290,2435938,1729902599999,40228.8063680,179,1013382,16738.4573560,0
1729902600000,0.0165230,0.0166110,0.0165040,0.0165970,3121223,1729902779999,51695.7676970,236,1574414,26080.6778490,0
1729902780000,0.0165950,0.0166250,0.0165830,0.0165930,2175837,1729902959999,36145.2224290,160,1209612,20093.2128190,0
1729902960000,0.0165890,0.0165890,0.0165080,0.0165350,2420183,1729903139999,40044.0194980,181,651886,10782.6337170,0
1729903140000,0.0165340,0.0166010,0.0165340,0.0165860,2875741,1729903319999,47650.0151250,160,1883034,31201.0058090,0
1729903320000,0.0165960,0.0166060,0.0165830,0.0165940,1217620,1729903499999,20206.6763120,103,642684,10664.8188460,0
1729903500000,0.0165960,0.0166270,0.0165840,0.0166020,2807129,1729903679999,46628.0785880,149,1338871,22240.8640850,0
1729903680000,0.0166020,0.0166590,0.0166020,0.0166420,1777304,1729903859999,29565.0106770,135,991624,16489.6185800,0
1729903860000,0.0166400,0.0166490,0.0166140,0.0166210,2613347,1729904039999,43457.4106770,156,1398576,23256.8738930,0
1729904040000,0.0166230,0.0166280,0.0165840,0.0166280,2041602,1729904219999,33900.5200970,149,762592,12661.1199570,0
1729904220000,0.0166300,0.0166530,0.0166070,0.0166130,1929230,1729904399999,32077.6138820,108,907457,15083.4610620,0
1729904400000,0.0166150,0.0166740,0.0166090,0.0166690,1677066,1729904579999,27896.0339120,145,779907,12976.9237180,0
1729904580000,0.0166690,0.0166900,0.0166590,0.0166900,1029440,1729904759999,17165.0144750,87,632961,10553.6263540,0
1729904760000,0.0166890,0.0167090,0.0166270,0.0166300,1364671,1729904939999,22750.3271890,101,448677,7478.7374930,0
1729904940000,0.0166300,0.0166490,0.0166130,0.0166390,870695,1729905119999,14482.6607800,80,503997,8382.2699120,0
1729905120000,0.0166330,0.0166330,0.0165970,0.0165990,739417,1729905299999,12280.3278440,72,414891,6889.9143490,0
1729905300000,0.0166040,0.0166040,0.0165710,0.0165930,2360265,1729905479999,39151.0219260,145,1435125,23803.7279840,0
1729905480000,0.0165930,0.0166430,0.0165880,0.0166370,1925437,1729905659999,31995.3356550,142,1025997,17047.3981700,0
1729905660000,0.0166450,0.0166710,0.0166450,0.0166500,1593439,1729905839999,26542.5030520,89,556813,9273.2350840,0
1729905840000,0.0166470,0.0166550,0.0166280,0.0166540,977302,1729906019999,16260.4622260,99,612238,10185.8570010,0
1729906020000,0.0166590,0.0166590,0.0166320,0.0166460,726908,1729906199999,12098.6426720,69,392158,6526.2970580,0
1729906200000,0.0166510,0.0166530,0.0165930,0.0166070,1767012,1729906379999,29384.2877250,146,719442,11963.9153540,0
1729906380000,0.0166060,0.0166060,0.0165680,0.0165770,2080431,1729906559999,34509.5284420,132,1011781,16784.5071430,0
1729906560000,0.0165720,0.0165720,0.0165350,0.0165580,1973969,1729906739999,32672.5786200,143,1077546,17834.9155350,0
1729906740000,0.0165610,0.0165690,0.0165390,0.0165620,1094825,1729906919999,18127.2902990,90,686101,11359.1196200,0
1729906920000,0.0165650,0.0165720,0.0165570,0.0165670,745494,1729907099999,12348.1972950,59,426872,7070.4857660,0
1729907100000,0.0165680,0.0166050,0.0165680,0.0165830,1468017,1729907279999,24355.0671740,148,913931,15162.4335130,0
1729907280000,0.0165870,0.0166180,0.0165790,0.0166160,797564,1729907459999,13235.2743680,73,352988,5857.1155220,0
1729907460000,0.0166170,0.0166530,0.0165900,0.0166340,2016035,1729907639999,33539.6552250,128,905906,15066.5725060,0
1729907640000,0.0166310,0.0166390,0.0165980,0.0165990,602046,1729907819999,10008.3481900,57,311449,5176.7962170,0
1729907820000,0.0166000,0.0166090,0.0165930,0.0166000,453700,1729907999999,7532.9407760,40,332691,5523.8537020,0
1729908000000,0.0165930,0.0166050,0.0165410,0.0165410,1375625,1729908179999,22804.2789860,106,680922,11291.6125370,0
1729908180000,0.0165380,0.0165380,0.0164770,0.0164840,1840095,1729908359999,30375.9982330,144,843940,13930.7675800,0
1729908360000,0.0164870,0.0165090,0.0164690,0.0164780,1723053,1729908539999,28411.1212800,125,555841,9165.4361370,0
1729908540000,0.0164770,0.0164820,0.0164520,0.0164700,1647321,1729908719999,27131.2588880,123,798958,13159.5688060,0
1729908720000,0.0164730,0.0165130,0.0164640,0.0165040,1205754,1729908899999,19882.3917770,92,494135,8149.5881240,0
1729908900000,0.0165050,0.0165430,0.0165020,0.0165420,973428,1729909079999,16077.0623890,92,554932,9164.7555260,0
1729909080000,0.0165400,0.0165920,0.0165340,0.0165850,1430752,1729909259999,23703.6543860,125,1001801,16596.4063940,0
1729909260000,0.0165880,0.0166080,0.0165690,0.0166030,1451328,1729909439999,24063.6487000,121,740481,12277.0013610,0
1729909440000,0.0166000,0.0166500,0.0165960,0.0166500,1148087,1729909619999,19088.2776260,102,663334,11028.5205280,0
1729909620000,0.0166510,0.0166510,0.0166040,0.0166090,2011089,1729909799999,33431.1858230,116,722093,12001.8922820,0
1729909800000,0.0166110,0.0166110,0.0165680,0.0165750,924052,1729909979999,15326.5601640,81,405864,6732.2857990,0
1729909980000,0.0165770,0.0166060,0.0165740,0.0165960,793347,1729910159999,13162.9635530,89,409323,6790.6745760,0
1729910160000,0.0165920,0.0165920,0.0165600,0.0165600,488214,1729910339999,8092.0857870,65,317006,5253.9169890,0
1729910340000,0.0165620,0.0166190,0.0165620,0.0166170,960146,1729910519999,15935.4192280,76,515017,8546.2563100,0
1729910520000,0.0166160,0.0166930,0.0166160,0.0166890,1674741,1729910699999,27898.6583660,101,810476,13500.6578740,0
1729910700000,0.0166860,0.0167620,0.0166840,0.0166960,2602558,1729910879999,43517.9711280,170,1529416,25573.0438650,0
1729910880000,0.0166860,0.0167060,0.0166750,0.0166850,2367961,1729911059999,39519.0652230,142,1289221,21514.1962750,0
1729911060000,0.0166850,0.0167100,0.0166420,0.0166480,1511631,1729911239999,25202.1150710,88,686910,11449.8839180,0
1729911240000,0.0166440,0.0166490,0.0166270,0.0166430,823670,1729911419999,13703.2962910,86,543856,9047.4250300,0
1729911420000,0.0166420,0.0166470,0.0166220,0.0166370,779607,1729911599999,12969.4524790,64,200930,3342.1273690,0
1729911600000,0.0166410,0.0166450,0.0166070,0.0166090,2815951,1729911779999,46811.8126260,168,583189,9695.8295050,0
1729911780000,0.0166070,0.0166260,0.0165920,0.0166080,1499350,1729911959999,24901.5441000,103,827237,13738.6133970,0
1729911960000,0.0166130,0.0166470,0.0166130,0.0166160,923225,1729912139999,15355.1151020,87,441724,7346.8691800,0
1729912140000,0.0166190,0.0166500,0.0166190,0.0166390,720573,1729912319999,11989.3850760,49,147378,2451.5451440,0
1729912320000,0.0166350,0.0166590,0.0166280,0.0166390,342495,1729912499999,5700.4813670,43,85122,1416.7849020,0
1729912500000,0.0166400,0.0166710,0.0166290,0.0166710,868248,1729912679999,14460.1279090,56,611126,10178.4944100,0
1729912680000,0.0166710,0.0167000,0.0166680,0.0166840,983747,1729912859999,16412.2187770,79,525250,8763.3227160,0
1729912860000,0.0166840,0.0166910,0.0166760,0.0166830,620776,1729913039999,10355.7932400,53,279226,4658.1431690,0
1729913040000,0.0166840,0.0166980,0.0166770,0.0166950,440307,1729913219999,7346.0072470,46,142823,2382.2283630,0
1729913220000,0.0166950,0.0167440,0.0166950,0.0167330,942807,1729913399999,15762.8460720,82,639241,10686.3310020,0
1729913400000,0.0167330,0.0167430,0.0167150,0.0167340,495006,1729913579999,8281.9799880,52,214926,3595.1796830,0
1729913580000,0.0167330,0.0167440,0.0167260,0.0167300,665046,1729913759999,11130.2940930,71,250565,4193.0714220,0
1729913760000,0.0167280,0.0167630,0.0167160,0.0167610,721935,1729913939999,12087.5267820,82,404988,6779.6588800,0
1729913940000,0.0167600,0.0167710,0.0167530,0.0167710,1114291,1729914119999,18678.5082690,70,697977,11699.8939620,0
1729914120000,0.0167670,0.0167700,0.0167460,0.0167600,743483,1729914299999,12463.2141040,67,440159,7378.5000810,0
1729914300000,0.0167630,0.0167670,0.0167240,0.0167270,540296,1729914479999,9046.4521400,56,229748,3845.1582080,0
1729914480000,0.0167290,0.0167450,0.0167240,0.0167290,600957,1729914659999,10055.9816920,61,300256,5024.1160310,0
1729914660000,0.0167280,0.0167430,0.0167180,0.0167380,452157,1729914839999,7563.5457480,59,283879,4747.7594020,0
1729914840000,0.0167370,0.0167580,0.0167370,0.0167460,685009,1729915019999,11472.5646700,61,365537,6122.4129660,0
